Trip_ID,Trip_Distance,Type_of_Cab,Customer_Since_Months,Life_Style_Index,Confidence_Life_Style_Index,Destination_Type,Customer_Rating,Cancellation_Last_1Month,Var1,Var2,Var3,Gender,label
T0005691336,77.1,B,3.0,3.02266,C,A,2.91875,1,69.0,62,106,Male,2
T0005691337,41.02,B,3.0,2.79332,C,B,2.63375,0,,63,94,Female,1
T0005691338,92.24,A,10.0,3.19431,B,A,3.095,0,,56,80,Female,3
T0005691341,87.14,E,3.0,2.92146,C,B,1.745,1,75.0,53,104,Male,1
T0005691342,19.85,,6.0,2.92018,C,A,2.5425,0,,49,82,Male,2
T0005691344,54.36,C,3.0,2.70118,B,A,2.81,1,,51,67,Male,3
T0005691347,23.35,D,2.0,2.55536,C,A,2.49125,1,,52,64,Male,3
T0005691348,87.56,B,9.0,3.0631,B,A,2.5925,0,72.0,51,67,Male,2
T0005691349,17.78,,10.0,2.65078,A,A,3.17,0,,46,58,Male,3
T0005691350,105.64,D,10.0,2.8872,B,A,2.1475,2,,61,83,Male,3
T0005691351,85.89,D,10.0,3.0424,C,C,3.9025,1,,53,96,Male,3
T0005691354,55.32,A,3.0,2.721,A,B,3.5775,1,107.0,50,74,Male,1
T0005691355,75.96,C,10.0,3.08032,C,A,3.44125,0,77.0,52,86,Male,2
T0005691357,63.59,D,4.0,3.05868,C,B,3.34375,0,,53,75,Male,3
T0005691358,22.45,,5.0,2.66448,A,A,2.47125,0,,57,79,Male,1
T0005691360,107.78,,10.0,3.21739,B,B,2.3225,0,,51,73,Male,2
T0005691361,21.28,B,6.0,2.62097,A,A,3.2325,2,,47,60,Male,2
T0005691363,31.81,B,6.0,2.6275,B,A,3.6975,1,104.0,45,58,Female,3
T0005691364,6.76,C,4.0,2.65715,A,B,2.77875,3,,45,60,Female,3
T0005691365,33.18,,6.0,2.70676,C,D,1.91,1,,49,62,Female,2
T0005691368,16.09,B,3.0,2.57503,B,B,1.29,1,60.0,55,81,Female,2
T0005691369,65.26,D,10.0,2.74686,C,A,2.24125,0,84.0,57,92,Female,3
T0005691370,75.98,D,3.0,3.30141,B,A,4.08125,0,31.0,52,78,Male,3
T0005691371,46.62,,10.0,2.64657,A,A,1.52625,0,,51,86,Male,2
T0005691372,86.79,B,1.0,,,A,3.695,0,76.0,54,85,Female,2
T0005691373,41.0,E,10.0,2.98716,B,D,3.25625,0,55.0,50,78,Male,3
T0005691374,66.5,E,10.0,2.68773,B,A,1.23125,1,83.0,57,80,Female,3
T0005691375,106.72,A,8.0,2.97456,B,A,3.19625,4,59.0,44,71,Male,3
T0005691376,86.37,,5.0,2.87854,C,B,0.6075,0,,59,82,Female,2
T0005691377,61.57,B,10.0,2.8943,C,B,2.66875,0,36.0,57,91,Female,2
T0005691379,20.16,D,7.0,2.77243,B,A,3.955,1,39.0,55,83,Female,2
T0005691383,27.28,B,10.0,2.91306,A,B,3.94875,0,48.0,48,73,Male,1
T0005691385,53.0,D,2.0,2.5788,C,A,3.16125,0,,46,61,Male,3
T0005691386,91.54,B,5.0,3.13234,B,A,3.56,2,87.0,58,84,Female,2
T0005691387,9.38,D,0.0,2.38616,C,J,4.08125,0,,46,60,Male,3
T0005691390,29.95,B,2.0,2.90798,B,B,3.62375,4,73.0,51,67,Male,2
T0005691393,12.77,A,10.0,2.96881,C,L,3.7725,2,,47,66,Female,1
T0005691395,60.33,D,0.0,3.08081,C,A,3.13625,3,78.0,50,73,Male,3
T0005691398,36.54,A,5.0,2.72164,A,A,2.30625,0,,53,77,Male,1
T0005691400,25.08,B,2.0,2.63184,A,A,4.09625,0,,48,70,Female,3
T0005691402,11.02,C,6.0,2.774,A,C,2.215,0,37.0,53,68,Female,2
T0005691405,39.36,C,10.0,2.79691,B,D,1.5475,0,73.0,61,85,Male,3
T0005691409,49.01,A,3.0,3.20624,B,A,2.61375,0,,53,69,Male,1
T0005691411,56.62,B,4.0,,,A,2.14625,1,,52,72,Male,2
T0005691412,42.8,C,6.0,,,A,4.43875,0,58.0,56,89,Male,3
T0005691414,22.72,E,2.0,2.39688,B,I,4.64,2,,49,60,Female,3
T0005691415,37.61,B,2.0,2.99984,A,A,3.1925,1,61.0,52,82,Male,1
T0005691417,47.34,C,0.0,3.12882,A,A,3.2275,2,36.0,46,76,Female,1
T0005691418,22.3,,10.0,2.83508,C,D,1.7325,2,,45,56,Male,3
T0005691419,93.06,C,7.0,2.9023,B,A,1.475,0,,56,83,Male,2
T0005691425,31.02,B,9.0,2.93711,A,A,3.11,0,,56,77,Male,3
T0005691428,34.03,D,10.0,2.56896,C,A,0.5075,0,104.0,52,97,Female,3
T0005691429,43.51,A,7.0,3.06088,C,B,3.37125,2,42.0,47,82,Female,1
T0005691430,65.89,D,2.0,2.78053,B,F,2.41875,1,,46,66,Male,3
T0005691431,31.47,C,10.0,,,B,3.2875,0,77.0,50,70,Female,2
T0005691432,18.98,C,3.0,2.77677,C,A,3.22875,0,40.0,54,75,Female,2
T0005691433,11.43,B,2.0,2.61209,C,G,2.37125,0,103.0,50,76,Male,2
T0005691434,37.07,A,8.0,2.89789,B,B,3.17,2,,57,93,Male,2
T0005691435,18.18,B,0.0,2.73996,A,A,2.2325,2,,68,97,Male,1
T0005691436,60.76,A,10.0,,,A,2.895,1,,50,77,Male,1
T0005691438,24.33,C,5.0,2.74366,C,A,2.94625,3,,49,60,Male,2
T0005691439,50.42,,10.0,2.74432,C,A,1.56125,1,43.0,61,84,Male,3
T0005691441,4.6,E,7.0,3.02745,A,H,3.4225,0,,53,82,Male,2
T0005691443,74.93,A,2.0,,,A,3.01125,0,,58,84,Male,1
T0005691444,17.3,A,6.0,,,A,3.2675,0,,42,57,Male,1
T0005691445,37.35,C,10.0,2.53954,A,A,4.27125,2,,47,59,Male,3
T0005691446,7.03,C,6.0,2.9316,C,F,3.13,1,,52,99,Male,3
T0005691449,31.24,D,,,,A,4.3475,0,63.0,45,60,Male,3
T0005691452,24.93,B,8.0,,,B,3.12125,0,,49,71,Male,1
T0005691454,13.43,,8.0,,,A,3.7475,1,49.0,48,67,Female,2
T0005691455,21.01,B,6.0,2.78519,A,B,2.875,1,56.0,51,73,Male,2
T0005691456,36.84,C,,2.53196,B,C,4.08,1,71.0,51,90,Male,3
T0005691458,108.39,B,2.0,2.92247,B,A,2.57,0,,47,69,Male,2
T0005691459,17.54,B,10.0,,,A,3.12875,1,,57,108,Female,2
T0005691460,30.93,C,2.0,2.73323,C,A,3.90625,1,,46,60,Male,2
T0005691461,26.18,B,10.0,2.78609,B,A,3.1875,3,76.0,48,70,Male,3
T0005691464,62.44,D,10.0,2.65421,B,A,2.63375,0,88.0,48,66,Male,3
T0005691465,18.45,A,1.0,2.81898,A,A,3.1025,0,56.0,47,72,Female,1
T0005691467,43.57,D,0.0,2.56284,C,B,1.94125,0,,45,68,Female,3
T0005691468,60.76,B,1.0,2.99582,C,B,2.635,3,35.0,52,77,Male,2
T0005691469,17.46,B,10.0,2.59326,B,A,2.85875,2,99.0,56,70,Female,3
T0005691470,24.15,B,7.0,2.54465,C,D,3.2,0,,45,57,Female,2
T0005691471,108.45,D,1.0,3.17656,C,A,2.4125,1,85.0,48,86,Male,3
T0005691472,26.27,E,3.0,2.44525,C,D,2.56125,2,,48,63,Male,3
T0005691473,85.08,,3.0,,,B,3.90125,3,,53,81,Female,1
T0005691474,107.98,A,8.0,3.11429,B,A,2.78125,0,82.0,59,100,Male,1
T0005691478,49.73,A,7.0,2.8302,B,A,3.11875,2,,46,81,Male,1
T0005691480,85.91,C,4.0,2.95134,C,A,2.77625,0,,57,75,Female,2
T0005691481,51.54,B,10.0,2.96635,B,A,4.17375,0,,53,70,Female,1
T0005691483,46.54,D,8.0,2.87586,C,A,1.4375,2,,55,84,Male,3
T0005691484,42.91,D,10.0,2.9569,C,B,3.895,0,,47,77,Male,3
T0005691485,31.19,A,2.0,2.65162,C,B,3.12625,0,,48,59,Male,2
T0005691486,107.34,D,9.0,2.88446,B,A,3.01,0,65.0,44,63,Male,3
T0005691487,31.79,,2.0,3.04011,B,B,3.19375,0,,57,68,Female,1
T0005691488,39.28,A,8.0,2.77333,C,B,4.4325,0,63.0,54,80,Male,1
T0005691490,39.79,,0.0,2.71647,A,A,1.90125,3,,53,99,Male,2
T0005691492,20.67,A,1.0,3.07837,A,B,2.04125,1,74.0,56,89,Female,1
T0005691493,24.3,B,5.0,2.89136,A,B,3.06125,0,51.0,50,83,Male,2
T0005691494,37.32,C,10.0,,,B,1.545,0,,47,72,Male,2
T0005691495,48.53,C,3.0,,,A,2.04875,0,,51,90,Male,2
T0005691496,52.79,B,1.0,2.60068,B,B,2.7125,1,50.0,54,76,Male,3
T0005691497,21.64,A,2.0,,,A,1.94375,1,,50,74,Male,1
T0005691499,11.31,C,0.0,2.61239,A,B,1.16375,3,,54,82,Male,3
T0005691500,35.58,D,1.0,2.46358,C,A,2.84625,1,35.0,53,75,Male,3
T0005691502,58.32,E,5.0,2.77718,B,F,3.235,0,,54,66,Male,3
T0005691504,86.78,A,10.0,2.95213,C,B,2.35625,0,,53,75,Male,1
T0005691507,48.11,,1.0,2.90484,B,B,4.105,1,,43,59,Female,2
T0005691508,18.18,A,7.0,3.24218,C,A,3.66,2,,49,91,Female,1
T0005691509,78.85,,2.0,3.25761,C,A,1.68875,0,66.0,52,69,Female,2
T0005691510,32.69,,1.0,2.8117,A,A,3.03125,1,,62,79,Male,3
T0005691512,81.18,C,10.0,,,A,3.1125,0,68.0,54,92,Female,3
T0005691513,45.04,B,0.0,2.77245,B,A,2.15625,0,49.0,48,68,Male,2
T0005691517,73.0,B,6.0,2.9235,B,B,2.2875,0,,50,72,Female,2
T0005691518,26.05,C,10.0,,,A,2.485,0,43.0,53,74,Male,2
T0005691520,60.39,B,10.0,2.69081,C,A,2.1225,0,,53,77,Male,1
T0005691523,21.56,C,10.0,2.49765,B,A,1.05625,0,,52,80,Male,2
T0005691524,45.82,A,1.0,3.29223,A,A,2.2975,1,,62,94,Male,1
T0005691525,42.82,B,3.0,,,A,1.8125,0,,58,74,Male,2
T0005691527,29.65,B,10.0,2.70298,A,B,1.885,3,,48,67,Male,1
T0005691529,27.73,,10.0,2.58577,B,B,2.06125,0,42.0,57,87,Male,2
T0005691530,26.5,B,7.0,,,F,1.59,0,37.0,47,74,Male,3
T0005691531,35.41,,10.0,2.88079,C,D,5.0,0,,41,63,Male,3
T0005691532,87.48,E,10.0,2.81549,C,B,3.03625,1,,47,59,Male,3
T0005691533,14.26,D,10.0,2.94791,A,H,3.71,0,,50,79,Male,1
T0005691534,50.89,A,10.0,3.11318,C,B,3.83125,1,,51,82,Male,1
T0005691536,106.74,E,0.0,2.98189,B,B,3.4475,0,,54,101,Male,3
T0005691537,37.51,A,10.0,2.55431,A,A,3.175,0,,45,70,Male,1
T0005691538,18.15,,8.0,2.3122,C,B,2.82375,0,74.0,48,62,Female,3
T0005691539,55.04,C,8.0,2.9563,B,G,4.115,3,,53,79,Male,3
T0005691540,90.84,,10.0,3.11718,B,A,2.21375,1,,69,95,Female,2
T0005691541,60.59,C,10.0,,,C,4.97375,0,34.0,49,72,Male,3
T0005691542,66.42,C,8.0,,,B,3.37625,0,44.0,48,65,Male,3
T0005691543,9.14,B,9.0,2.69651,A,A,2.7375,0,35.0,44,64,Female,2
T0005691544,52.25,D,10.0,2.65865,C,A,0.90625,0,,60,80,Male,3
T0005691545,68.28,,8.0,2.879,B,A,1.2925,1,,54,80,Male,2
T0005691546,27.34,C,4.0,2.59981,C,B,2.57375,2,,53,63,Male,2
T0005691549,106.56,C,3.0,3.19849,C,A,2.7475,1,,52,83,Male,3
T0005691550,108.33,,,3.1747,C,C,2.745,0,,62,94,Male,3
T0005691552,23.34,A,2.0,2.98831,A,A,3.79375,2,,49,74,Male,1
T0005691554,37.28,B,7.0,2.57666,B,A,0.98625,0,36.0,52,70,Male,2
T0005691557,37.97,E,3.0,,,H,4.34,0,,49,60,Male,3
T0005691558,50.38,C,10.0,,,A,1.81625,0,,49,65,Male,3
T0005691560,75.78,B,9.0,,,A,2.95375,0,58.0,51,68,Male,2
T0005691561,30.01,D,5.0,2.79362,B,A,1.64125,2,,53,65,Female,3
T0005691564,22.25,C,1.0,2.55251,A,A,1.52875,1,,52,64,Male,3
T0005691565,60.86,D,10.0,2.90664,B,A,1.055,5,,56,87,Male,3
T0005691567,106.95,A,10.0,2.95713,B,A,2.955,0,,51,79,Male,3
T0005691568,20.6,D,0.0,,,A,3.81,2,,52,64,Male,3
T0005691570,30.94,E,3.0,2.70498,A,A,1.82,2,,60,103,Female,3
T0005691572,92.87,C,6.0,3.09503,B,A,2.5725,0,,56,87,Male,2
T0005691574,54.05,A,10.0,3.06405,A,A,2.705,0,,51,75,Male,1
T0005691577,37.96,B,0.0,2.48097,A,G,3.64,0,,47,62,Female,2
T0005691578,73.26,A,6.0,2.78478,C,A,2.325,0,,58,79,Male,1
T0005691581,49.71,E,1.0,2.77566,A,A,3.6325,3,41.0,51,71,Male,2
T0005691583,20.38,D,2.0,2.54589,C,E,3.91125,0,59.0,47,59,Male,2
T0005691584,73.55,,2.0,3.38892,C,A,2.82375,0,,59,94,Male,1
T0005691586,47.25,B,10.0,,,A,2.835,1,,48,84,Male,2
T0005691587,33.47,D,5.0,2.65911,C,E,4.79625,0,,46,58,Male,1
T0005691588,4.14,A,10.0,2.77786,B,A,1.7275,1,52.0,56,81,Male,3
T0005691589,49.47,C,6.0,2.61171,C,A,2.1575,0,,52,71,Male,2
T0005691590,60.76,B,0.0,3.09404,C,A,3.45375,0,,47,76,Male,2
T0005691591,45.75,B,1.0,2.74489,A,A,3.24875,3,82.0,50,67,Male,2
T0005691592,37.58,A,2.0,,,D,3.40625,0,63.0,42,55,Male,2
T0005691595,13.06,B,7.0,2.60303,A,D,3.3725,0,,48,73,Female,1
T0005691596,28.94,C,7.0,,,A,2.53,0,,45,60,Male,2
T0005691599,30.02,E,8.0,2.53515,C,A,2.42375,0,40.0,49,72,Male,3
T0005691600,24.18,A,,2.66585,B,B,2.41625,0,,49,70,Female,2
T0005691606,25.78,D,0.0,2.70834,A,A,1.70875,1,,51,64,Female,2
T0005691608,55.49,,10.0,2.84886,A,A,3.2525,0,63.0,62,94,Female,1
T0005691609,7.99,A,1.0,2.81246,A,I,1.15,0,90.0,54,75,Male,3
T0005691612,59.9,A,7.0,2.81845,C,E,3.2425,2,59.0,52,69,Male,3
T0005691613,61.42,,8.0,2.96849,C,A,1.74625,0,110.0,64,110,Male,1
T0005691615,36.45,D,10.0,2.60813,A,A,1.94,0,,52,66,Female,3
T0005691616,4.42,C,7.0,,,K,2.9975,2,,48,60,Male,2
T0005691619,44.8,B,10.0,2.85134,A,B,2.97,0,56.0,51,71,Female,2
T0005691620,18.68,B,,2.59629,C,A,4.625,0,58.0,47,61,Male,1
T0005691621,55.78,C,10.0,2.72051,C,A,0.68375,0,,57,77,Female,2
T0005691625,39.73,B,10.0,2.7576,B,C,3.645,0,,45,69,Female,2
T0005691626,72.64,D,10.0,3.0139,A,A,2.22375,3,,54,92,Female,1
T0005691628,9.69,B,2.0,2.98989,A,A,3.1675,0,51.0,46,69,Female,2
T0005691629,30.94,B,2.0,2.74379,A,C,2.9525,0,,51,70,Male,2
T0005691630,31.95,,7.0,2.83884,A,B,3.125,0,100.0,50,79,Male,2
T0005691632,38.38,B,10.0,2.91969,A,A,3.05,1,,52,68,Female,2
T0005691633,40.88,C,10.0,2.81911,B,A,3.39125,1,102.0,47,67,Male,3
T0005691634,36.19,,10.0,2.63983,C,A,1.64875,0,48.0,61,82,Male,1
T0005691636,31.46,C,6.0,2.73983,A,A,1.53125,1,41.0,57,87,Male,2
T0005691640,77.8,D,10.0,2.89937,C,A,4.01375,2,53.0,45,77,Male,3
T0005691641,25.84,B,10.0,2.40516,A,A,2.005,0,50.0,46,68,Female,2
T0005691643,36.89,C,10.0,2.84422,C,A,1.31,1,,57,86,Male,2
T0005691644,58.2,B,5.0,2.72769,B,A,1.4725,0,56.0,47,70,Male,2
T0005691645,36.51,B,0.0,2.87559,A,A,1.60625,1,43.0,51,79,Male,1
T0005691646,47.57,,2.0,2.7736,C,A,3.4975,1,,52,70,Male,2
T0005691648,43.7,A,10.0,3.04913,A,B,3.2425,0,,56,82,Male,1
T0005691649,30.31,C,,2.55428,C,B,2.28625,0,39.0,54,80,Male,2
T0005691651,49.55,C,6.0,2.69212,C,A,2.95125,0,48.0,49,79,Male,2
T0005691654,92.43,C,4.0,2.91686,B,A,2.5,1,63.0,48,73,Male,2
T0005691655,25.04,A,4.0,2.67211,C,A,1.505,0,,56,88,Male,1
T0005691656,3.95,C,3.0,,,A,2.0525,0,82.0,43,65,Female,3
T0005691657,32.08,,2.0,2.62031,A,A,2.1325,0,46.0,48,68,Male,2
T0005691658,29.44,C,3.0,2.66656,A,A,2.395,0,37.0,47,73,Male,3
T0005691659,47.36,C,8.0,2.72478,C,A,2.36875,0,,53,68,Male,2
T0005691660,53.11,B,2.0,2.60127,C,A,1.4225,2,43.0,51,79,Female,2
T0005691667,16.02,D,10.0,2.82033,C,A,2.625,0,,54,73,Male,2
T0005691669,20.62,C,,2.67382,B,B,0.74375,1,93.0,46,75,Male,2
T0005691670,106.87,,1.0,3.16121,C,A,3.08875,0,52.0,51,85,Female,2
T0005691671,38.05,A,10.0,2.79382,B,C,3.7,0,,47,77,Female,1
T0005691672,72.53,B,10.0,2.89999,B,A,1.045,1,36.0,48,74,Male,2
T0005691673,77.54,,2.0,2.9672,C,A,3.34,0,76.0,58,81,Female,2
T0005691675,106.38,C,6.0,3.15967,C,B,3.7325,0,44.0,50,74,Female,3
T0005691677,36.97,C,0.0,2.60708,C,A,3.75,3,58.0,53,78,Female,2
T0005691678,31.3,C,5.0,2.90828,A,B,3.49125,2,90.0,54,72,Male,3
T0005691681,24.58,,2.0,2.60652,C,F,3.39125,0,,48,63,Female,2
T0005691682,58.03,C,10.0,2.84318,B,A,4.10375,0,35.0,49,70,Male,3
T0005691684,55.02,B,,2.68942,B,B,1.28625,0,63.0,51,83,Male,2
T0005691685,38.26,B,10.0,2.87517,C,A,2.48125,2,96.0,53,79,Female,2
T0005691687,15.75,D,6.0,2.93928,C,A,2.76,0,96.0,50,67,Female,2
T0005691689,15.63,A,10.0,2.61065,A,D,3.32375,0,99.0,49,67,Female,1
T0005691691,76.49,A,10.0,2.85557,B,A,3.80375,0,31.0,56,85,Male,2
T0005691692,37.76,B,2.0,3.04671,C,D,2.4825,0,62.0,50,72,Male,2
T0005691693,37.53,D,2.0,2.7033,A,A,1.88625,0,,49,69,Male,2
T0005691695,62.4,D,5.0,2.71318,B,A,3.75,0,,50,68,Male,3
T0005691696,37.12,D,9.0,2.71441,B,F,1.25375,1,68.0,49,70,Male,3
T0005691697,20.26,D,2.0,2.39999,C,B,2.32375,0,,50,61,Female,3
T0005691700,106.41,,7.0,3.00253,B,A,3.16375,0,96.0,51,73,Male,3
T0005691701,93.75,,10.0,2.99855,B,A,2.265,2,49.0,59,91,Female,2
T0005691703,61.21,C,9.0,2.87156,B,A,3.2325,1,,50,74,Male,2
T0005691704,34.99,B,0.0,2.40459,C,B,1.7275,0,,50,66,Male,2
T0005691705,11.69,C,0.0,2.17702,A,A,0.49,0,,44,54,Male,3
T0005691706,47.76,B,10.0,2.79193,C,A,1.905,1,,51,74,Male,1
T0005691707,39.85,B,10.0,2.97836,A,A,4.55,0,,52,70,Female,2
T0005691712,15.38,B,10.0,2.54092,A,B,2.78375,0,,47,62,Male,2
T0005691713,107.0,,10.0,3.29399,C,A,4.24375,2,,55,91,Male,3
T0005691715,5.18,C,10.0,2.76476,A,D,2.12625,0,,55,77,Female,2
T0005691717,57.26,A,3.0,2.73186,B,B,1.56625,1,,55,67,Female,2
T0005691719,45.51,,10.0,2.91348,C,A,3.81375,0,,46,72,Female,2
T0005691720,38.88,E,4.0,2.62025,B,A,2.46125,3,,52,82,Male,3
T0005691721,11.06,,10.0,2.76636,A,A,4.1175,1,,45,61,Male,2
T0005691722,45.91,B,7.0,,,A,3.86375,1,43.0,50,85,Male,1
T0005691723,21.8,A,,2.39856,B,A,4.2575,0,,45,67,Male,2
T0005691725,22.09,B,10.0,2.95582,C,A,2.475,1,,48,88,Male,1
T0005691726,29.78,C,10.0,2.72,A,A,2.66875,2,46.0,49,87,Male,3
T0005691727,87.36,A,4.0,2.90647,C,A,1.28875,0,,52,77,Male,1
T0005691728,19.51,B,10.0,,,A,4.6775,0,108.0,46,71,Male,2
T0005691730,66.38,C,,2.68132,B,A,3.14,0,85.0,59,98,Female,2
T0005691731,28.78,B,6.0,2.78156,A,A,1.6875,1,48.0,49,73,Male,2
T0005691732,90.94,D,10.0,,,A,1.335,1,77.0,56,81,Male,3
T0005691733,63.06,D,0.0,2.65203,B,A,0.81625,0,86.0,54,77,Male,3
T0005691734,66.62,C,3.0,2.85058,C,C,3.94875,2,,46,64,Male,3
T0005691735,38.54,B,4.0,2.60111,A,A,3.95,1,,49,63,Male,2
T0005691736,66.67,C,10.0,2.78327,B,B,2.07875,0,,48,75,Female,3
T0005691737,77.91,A,9.0,2.77796,B,A,1.71625,0,97.0,62,94,Female,3
T0005691739,76.35,,10.0,,,B,3.45625,0,,50,84,Female,2
T0005691740,45.42,,10.0,2.97544,C,A,2.26875,6,46.0,55,89,Male,3
T0005691741,60.87,C,10.0,,,A,3.0975,0,,52,71,Male,3
T0005691742,31.22,B,1.0,,,B,2.23375,1,,57,77,Male,2
T0005691744,32.06,A,2.0,2.78448,A,A,4.27875,1,97.0,47,64,Female,2
T0005691745,4.67,D,10.0,,,H,0.77875,0,,50,69,Female,3
T0005691746,73.09,B,10.0,2.68671,B,A,4.84375,0,,48,70,Male,2
T0005691749,71.11,C,4.0,,,B,1.76,0,,55,69,Male,2
T0005691750,24.62,B,0.0,3.0791,B,B,3.67,0,,50,76,Male,2
T0005691753,48.54,E,1.0,2.89172,B,A,3.4275,1,,57,85,Male,1
T0005691754,72.9,,10.0,2.99846,B,B,2.96125,1,64.0,50,69,Male,3
T0005691755,30.2,B,10.0,2.82204,A,B,2.6275,0,,52,87,Male,1
T0005691756,86.68,E,5.0,3.07758,C,A,1.37375,0,79.0,57,112,Female,1
T0005691757,60.64,C,6.0,3.00863,C,A,3.405,6,58.0,46,72,Female,3
T0005691758,55.57,B,2.0,3.20327,A,A,3.46375,1,45.0,48,68,Male,2
T0005691759,69.18,A,0.0,2.697,C,A,3.28625,0,,48,63,Male,3
T0005691760,47.1,A,0.0,3.0235,C,B,2.52,0,56.0,51,78,Female,1
T0005691761,108.56,,10.0,3.27982,B,A,3.74375,0,,66,93,Male,3
T0005691762,30.81,C,5.0,2.57495,A,A,3.74625,1,87.0,44,66,Male,2
T0005691763,36.69,,1.0,2.48818,B,A,1.14,0,,47,61,Male,3
T0005691764,29.88,A,10.0,2.8082,B,B,4.43125,0,46.0,46,70,Female,1
T0005691765,74.18,A,8.0,3.51982,B,A,4.68,1,56.0,52,87,Female,1
T0005691766,25.98,C,2.0,2.80333,A,A,4.21,1,54.0,52,78,Female,3
T0005691767,33.69,C,5.0,2.7848,A,A,3.3375,1,44.0,49,63,Female,2
T0005691768,8.51,A,1.0,2.60768,A,I,1.865,3,,53,67,Female,1
T0005691769,10.1,C,3.0,2.69735,C,B,1.7775,0,48.0,53,74,Female,1
T0005691770,48.92,B,10.0,2.55506,B,A,1.99875,0,,54,88,Male,3
T0005691771,36.14,B,1.0,2.51884,B,A,2.18125,0,,50,76,Male,2
T0005691774,15.53,A,,,,A,2.4725,0,,46,57,Female,1
T0005691775,5.11,C,2.0,,,A,2.3425,3,,49,72,Male,2
T0005691776,39.71,A,10.0,2.78544,B,B,1.6775,2,,52,79,Male,1
T0005691778,37.25,C,2.0,2.7428,A,A,2.09,3,67.0,53,89,Male,1
T0005691779,25.1,D,1.0,2.47753,C,A,0.92875,2,,63,84,Male,3
T0005691780,31.17,C,,2.64586,B,A,2.25625,2,,50,70,Male,3
T0005691782,38.83,A,7.0,2.8581,C,A,2.95875,0,,51,100,Female,1
T0005691784,38.28,E,5.0,2.65683,B,A,1.61375,2,,49,74,Female,3
T0005691785,61.81,B,2.0,2.89011,B,A,3.2675,0,,47,67,Male,2
T0005691786,47.56,,0.0,2.76717,C,A,1.85,1,94.0,52,94,Female,2
T0005691787,18.63,C,10.0,2.81908,A,A,2.37375,0,74.0,57,88,Male,2
T0005691789,17.34,B,0.0,2.61857,A,A,2.26,0,45.0,52,82,Female,2
T0005691790,108.84,B,10.0,3.06074,B,A,2.8375,0,84.0,46,81,Female,2
T0005691792,92.33,A,10.0,3.07499,B,A,2.81,0,,57,82,Female,3
T0005691793,16.36,B,4.0,,,B,3.6375,1,,46,57,Male,1
T0005691796,73.4,C,10.0,,,A,2.76375,1,,52,67,Male,3
T0005691798,41.96,A,7.0,2.69266,A,A,2.9625,1,,47,77,Female,3
T0005691800,16.4,C,10.0,,,A,4.88375,0,,42,65,Male,2
T0005691804,16.95,C,9.0,,,A,3.2675,1,82.0,48,68,Male,2
T0005691805,27.38,B,3.0,2.43772,A,A,1.81125,1,,50,77,Female,2
T0005691806,55.35,C,4.0,2.81759,A,A,2.12625,1,,56,78,Female,3
T0005691809,19.78,B,5.0,2.61403,B,B,2.2625,0,62.0,49,61,Male,3
T0005691812,38.05,D,1.0,2.70055,A,L,3.6625,0,,43,64,Male,2
T0005691813,77.02,A,10.0,,,F,4.9825,0,,47,74,Male,2
T0005691816,18.7,A,10.0,2.49532,A,A,1.58375,0,,46,74,Male,1
T0005691818,21.14,C,1.0,2.91415,A,A,3.71375,1,,48,78,Male,2
T0005691821,31.86,C,2.0,2.95388,C,A,4.32375,1,,57,91,Male,3
T0005691823,61.14,D,10.0,3.02732,B,B,2.66125,2,42.0,59,94,Male,3
T0005691825,10.46,C,8.0,,,D,3.1075,1,48.0,45,74,Male,2
T0005691826,47.38,D,10.0,,,A,1.2725,1,,58,79,Female,3
T0005691827,7.72,E,9.0,2.54522,C,B,1.175,0,101.0,51,67,Male,2
T0005691829,33.13,C,8.0,2.48434,C,A,3.34,0,,50,71,Male,2
T0005691831,18.77,A,2.0,2.49604,C,A,4.0375,0,44.0,55,77,Female,3
T0005691833,21.21,D,10.0,2.7603,A,A,1.61375,0,,58,75,Female,3
T0005691836,55.77,,5.0,2.62977,C,A,2.9425,1,63.0,45,67,Female,1
T0005691838,2.48,C,0.0,2.83942,A,B,2.49625,0,90.0,59,97,Male,2
T0005691839,23.31,C,6.0,2.69182,B,A,3.4225,0,,45,62,Male,2
T0005691840,12.11,C,3.0,2.64808,A,B,3.29375,1,,49,77,Male,3
T0005691841,15.8,E,7.0,2.39941,A,B,4.30375,0,,44,55,Female,2
T0005691842,51.5,B,10.0,,,A,3.005,0,,46,62,Female,1
T0005691843,80.78,C,10.0,,,B,4.27125,0,111.0,45,70,Male,3
T0005691844,24.98,B,5.0,2.64642,A,A,4.495,0,83.0,45,68,Male,2
T0005691845,66.82,B,4.0,3.07723,B,B,3.2675,0,56.0,50,67,Male,2
T0005691846,45.38,D,10.0,2.96881,B,A,1.62125,2,57.0,60,112,Female,2
T0005691849,10.48,C,5.0,2.6473,C,A,2.00625,0,,56,93,Female,2
T0005691850,29.68,A,5.0,,,A,3.49875,2,50.0,54,82,Male,2
T0005691851,42.8,D,9.0,2.75199,A,B,1.9475,0,,50,68,Male,3
T0005691852,7.07,A,8.0,2.64615,A,D,3.66625,3,,44,57,Female,3
T0005691854,20.08,B,3.0,2.56594,A,A,2.0625,1,,53,100,Male,1
T0005691856,36.83,,2.0,2.72583,A,A,0.21125,0,,57,82,Male,2
T0005691857,75.57,D,10.0,,,B,2.195,0,,52,77,Male,2
