ticket,requestor,RequestorSeniority,ITOwner,FiledAgainst,TicketType,Severity,Priority,daysOpen,label
2590,1770,1 - Junior,7,Systems,Issue,3 - Major,1 - Low,6,0 - Unknown
2591,1464,3 - Senior,30,Access/Login,Request,2 - Normal,3 - High,0,3 - Highly satisfied
2592,1188,1 - Junior,1,Software,Request,2 - Normal,0 - Unassigned,16,3 - Highly satisfied
2593,844,1 - Junior,42,Software,Request,2 - Normal,3 - High,3,3 - Highly satisfied
2594,917,4 - Management,18,Software,Request,2 - Normal,2 - Medium,4,0 - Unknown
2595,1105,2 - Regular,28,Systems,Issue,2 - Normal,0 - Unassigned,6,1 - Unsatisfied
2596,1870,4 - Management,38,Systems,Issue,2 - Normal,0 - Unassigned,2,2 - Satisfied
2597,433,1 - Junior,19,Systems,Issue,2 - Normal,1 - Low,9,1 - Unsatisfied
2598,233,2 - Regular,4,Systems,Issue,2 - Normal,2 - Medium,12,1 - Unsatisfied
2599,795,2 - Regular,6,Software,Issue,2 - Normal,3 - High,5,0 - Unknown
2600,1495,2 - Regular,18,Access/Login,Issue,2 - Normal,3 - High,0,1 - Unsatisfied
2601,1317,4 - Management,5,Systems,Request,2 - Normal,3 - High,5,3 - Highly satisfied
2602,1553,1 - Junior,49,Access/Login,Request,2 - Normal,1 - Low,0,1 - Unsatisfied
2603,1140,2 - Regular,36,Software,Issue,2 - Normal,3 - High,1,3 - Highly satisfied
2604,942,2 - Regular,11,Access/Login,Request,2 - Normal,3 - High,1,2 - Satisfied
2605,1053,2 - Regular,41,Systems,Issue,2 - Normal,3 - High,2,3 - Highly satisfied
2606,218,2 - Regular,49,Access/Login,Request,1 - Minor,1 - Low,1,0 - Unknown
2607,1201,1 - Junior,14,Software,Request,2 - Normal,1 - Low,19,0 - Unknown
2608,863,1 - Junior,48,Access/Login,Issue,1 - Minor,0 - Unassigned,0,1 - Unsatisfied
2609,501,1 - Junior,40,Software,Issue,2 - Normal,0 - Unassigned,7,0 - Unknown
2610,449,4 - Management,37,Systems,Request,2 - Normal,3 - High,6,3 - Highly satisfied
2611,1817,3 - Senior,50,Access/Login,Request,2 - Normal,0 - Unassigned,0,1 - Unsatisfied
2612,1122,3 - Senior,9,Access/Login,Issue,3 - Major,2 - Medium,2,0 - Unknown
2613,867,3 - Senior,14,Systems,Request,2 - Normal,3 - High,5,2 - Satisfied
2614,1181,2 - Regular,35,Systems,Issue,1 - Minor,1 - Low,2,0 - Unknown
2615,645,2 - Regular,2,Hardware,Issue,2 - Normal,3 - High,6,1 - Unsatisfied
2616,127,4 - Management,42,Systems,Request,2 - Normal,3 - High,6,0 - Unknown
2617,784,2 - Regular,14,Systems,Issue,2 - Normal,2 - Medium,3,2 - Satisfied
2618,1149,2 - Regular,22,Systems,Request,2 - Normal,0 - Unassigned,16,1 - Unsatisfied
2619,696,2 - Regular,48,Systems,Request,2 - Normal,0 - Unassigned,20,3 - Highly satisfied
2620,1335,4 - Management,24,Systems,Issue,2 - Normal,0 - Unassigned,2,2 - Satisfied
2621,377,3 - Senior,27,Systems,Request,2 - Normal,3 - High,5,0 - Unknown
2622,521,3 - Senior,22,Software,Request,2 - Normal,3 - High,9,2 - Satisfied
2623,1341,2 - Regular,41,Access/Login,Issue,3 - Major,0 - Unassigned,0,0 - Unknown
2624,355,4 - Management,49,Access/Login,Request,2 - Normal,0 - Unassigned,1,0 - Unknown
2625,1805,4 - Management,40,Access/Login,Issue,2 - Normal,0 - Unassigned,0,1 - Unsatisfied
2626,70,1 - Junior,9,Systems,Issue,2 - Normal,0 - Unassigned,19,3 - Highly satisfied
2627,1575,2 - Regular,15,Software,Request,2 - Normal,3 - High,3,3 - Highly satisfied
2628,702,3 - Senior,8,Systems,Request,2 - Normal,3 - High,9,0 - Unknown
2629,1467,2 - Regular,8,Hardware,Request,2 - Normal,2 - Medium,12,3 - Highly satisfied
2630,1795,1 - Junior,24,Hardware,Request,2 - Normal,1 - Low,12,0 - Unknown
2631,112,3 - Senior,28,Software,Issue,2 - Normal,3 - High,5,0 - Unknown
2632,106,1 - Junior,23,Hardware,Issue,0 - Unclassified,0 - Unassigned,8,0 - Unknown
2633,1263,3 - Senior,17,Systems,Request,2 - Normal,0 - Unassigned,6,3 - Highly satisfied
2634,1308,3 - Senior,48,Access/Login,Request,2 - Normal,3 - High,0,1 - Unsatisfied
2635,1737,3 - Senior,41,Software,Issue,2 - Normal,2 - Medium,1,0 - Unknown
2636,1129,2 - Regular,30,Access/Login,Request,1 - Minor,0 - Unassigned,0,3 - Highly satisfied
2637,258,4 - Management,41,Access/Login,Request,2 - Normal,3 - High,0,3 - Highly satisfied
2638,150,3 - Senior,37,Software,Request,2 - Normal,0 - Unassigned,5,2 - Satisfied
2639,1760,3 - Senior,48,Access/Login,Request,2 - Normal,3 - High,0,2 - Satisfied
2640,405,2 - Regular,34,Systems,Request,2 - Normal,0 - Unassigned,5,3 - Highly satisfied
2641,594,2 - Regular,26,Access/Login,Request,2 - Normal,3 - High,0,2 - Satisfied
2642,379,1 - Junior,24,Software,Request,2 - Normal,1 - Low,6,1 - Unsatisfied
2643,560,2 - Regular,47,Access/Login,Request,2 - Normal,3 - High,0,0 - Unknown
2644,1126,2 - Regular,36,Software,Request,2 - Normal,2 - Medium,7,2 - Satisfied
2645,1208,4 - Management,28,Software,Request,2 - Normal,3 - High,8,0 - Unknown
2646,1084,3 - Senior,26,Access/Login,Issue,3 - Major,3 - High,3,3 - Highly satisfied
2647,1245,2 - Regular,28,Systems,Request,2 - Normal,1 - Low,17,0 - Unknown
2648,1849,3 - Senior,21,Systems,Issue,2 - Normal,3 - High,1,3 - Highly satisfied
2649,1145,1 - Junior,48,Access/Login,Request,2 - Normal,0 - Unassigned,1,0 - Unknown
2650,144,1 - Junior,49,Software,Request,2 - Normal,0 - Unassigned,10,0 - Unknown
2651,1943,1 - Junior,33,Access/Login,Issue,3 - Major,2 - Medium,0,2 - Satisfied
2652,1823,4 - Management,4,Hardware,Issue,2 - Normal,3 - High,7,2 - Satisfied
2653,56,1 - Junior,45,Systems,Request,3 - Major,0 - Unassigned,8,2 - Satisfied
2654,88,3 - Senior,25,Systems,Request,2 - Normal,3 - High,13,1 - Unsatisfied
2655,1010,3 - Senior,50,Software,Request,2 - Normal,3 - High,7,1 - Unsatisfied
2656,1628,4 - Management,18,Systems,Request,2 - Normal,0 - Unassigned,8,3 - Highly satisfied
2657,206,4 - Management,15,Hardware,Request,2 - Normal,3 - High,10,3 - Highly satisfied
2658,1547,3 - Senior,41,Systems,Issue,2 - Normal,3 - High,4,2 - Satisfied
2659,530,3 - Senior,35,Access/Login,Request,2 - Normal,3 - High,0,3 - Highly satisfied
2660,1886,3 - Senior,35,Access/Login,Request,2 - Normal,2 - Medium,0,3 - Highly satisfied
2661,1756,1 - Junior,5,Hardware,Request,4 - Critical,0 - Unassigned,29,0 - Unknown
2662,478,2 - Regular,19,Access/Login,Request,2 - Normal,3 - High,0,1 - Unsatisfied
2663,91,2 - Regular,13,Systems,Request,2 - Normal,3 - High,13,1 - Unsatisfied
2664,1493,2 - Regular,26,Access/Login,Request,2 - Normal,3 - High,0,3 - Highly satisfied
2665,128,1 - Junior,33,Hardware,Request,2 - Normal,1 - Low,38,2 - Satisfied
2666,1328,4 - Management,41,Access/Login,Request,2 - Normal,2 - Medium,0,2 - Satisfied
2667,142,2 - Regular,20,Access/Login,Issue,2 - Normal,2 - Medium,1,0 - Unknown
2668,835,2 - Regular,23,Systems,Request,2 - Normal,3 - High,6,3 - Highly satisfied
2669,1144,3 - Senior,10,Hardware,Request,2 - Normal,3 - High,10,1 - Unsatisfied
2670,1812,4 - Management,34,Hardware,Request,1 - Minor,3 - High,14,0 - Unknown
2671,1610,2 - Regular,45,Software,Request,2 - Normal,3 - High,6,3 - Highly satisfied
2672,709,2 - Regular,35,Software,Issue,2 - Normal,3 - High,2,0 - Unknown
2673,1024,2 - Regular,17,Systems,Request,3 - Major,3 - High,5,3 - Highly satisfied
2674,456,1 - Junior,30,Systems,Request,2 - Normal,1 - Low,19,0 - Unknown
2675,1846,2 - Regular,34,Systems,Request,3 - Major,0 - Unassigned,6,3 - Highly satisfied
2676,1121,2 - Regular,42,Systems,Request,2 - Normal,2 - Medium,8,2 - Satisfied
2677,510,1 - Junior,3,Systems,Request,3 - Major,1 - Low,17,2 - Satisfied
2678,1281,2 - Regular,8,Systems,Issue,2 - Normal,3 - High,3,0 - Unknown
2679,1930,2 - Regular,41,Access/Login,Request,2 - Normal,1 - Low,2,3 - Highly satisfied
2680,1258,1 - Junior,11,Systems,Request,2 - Normal,3 - High,12,2 - Satisfied
2681,204,1 - Junior,3,Systems,Request,2 - Normal,1 - Low,19,2 - Satisfied
2682,455,2 - Regular,35,Systems,Request,2 - Normal,1 - Low,7,2 - Satisfied
2683,467,2 - Regular,13,Access/Login,Request,2 - Normal,0 - Unassigned,2,2 - Satisfied
2684,1282,1 - Junior,15,Systems,Request,2 - Normal,2 - Medium,5,2 - Satisfied
2685,1394,2 - Regular,38,Software,Request,3 - Major,3 - High,2,0 - Unknown
2686,1654,2 - Regular,31,Access/Login,Request,2 - Normal,3 - High,0,2 - Satisfied
2687,1098,2 - Regular,20,Hardware,Request,2 - Normal,1 - Low,16,2 - Satisfied
2688,1540,1 - Junior,7,Access/Login,Request,2 - Normal,1 - Low,1,0 - Unknown
2689,1903,1 - Junior,36,Systems,Request,2 - Normal,2 - Medium,5,3 - Highly satisfied
2690,191,3 - Senior,33,Access/Login,Request,2 - Normal,0 - Unassigned,1,0 - Unknown
2691,67,4 - Management,44,Software,Request,2 - Normal,3 - High,7,0 - Unknown
2692,1413,2 - Regular,7,Access/Login,Request,2 - Normal,2 - Medium,0,3 - Highly satisfied
2693,507,2 - Regular,18,Systems,Request,2 - Normal,0 - Unassigned,15,3 - Highly satisfied
2694,456,1 - Junior,17,Systems,Request,2 - Normal,0 - Unassigned,6,3 - Highly satisfied
2695,506,2 - Regular,7,Systems,Request,2 - Normal,0 - Unassigned,16,2 - Satisfied
2696,607,2 - Regular,23,Software,Issue,2 - Normal,1 - Low,4,0 - Unknown
2697,236,2 - Regular,28,Hardware,Request,2 - Normal,0 - Unassigned,31,0 - Unknown
2698,95,2 - Regular,28,Access/Login,Request,3 - Major,1 - Low,0,1 - Unsatisfied
2699,1030,3 - Senior,27,Systems,Request,2 - Normal,0 - Unassigned,8,3 - Highly satisfied
2700,360,1 - Junior,3,Systems,Issue,2 - Normal,1 - Low,3,2 - Satisfied
2701,1726,3 - Senior,31,Software,Request,2 - Normal,3 - High,5,1 - Unsatisfied
2702,1858,2 - Regular,24,Software,Request,2 - Normal,2 - Medium,5,1 - Unsatisfied
2703,128,1 - Junior,44,Software,Request,2 - Normal,1 - Low,10,1 - Unsatisfied
2704,1013,4 - Management,24,Systems,Request,2 - Normal,3 - High,5,2 - Satisfied
2705,1929,1 - Junior,26,Software,Request,2 - Normal,1 - Low,8,0 - Unknown
2706,1712,2 - Regular,41,Access/Login,Issue,2 - Normal,0 - Unassigned,0,1 - Unsatisfied
2707,613,1 - Junior,10,Software,Request,2 - Normal,2 - Medium,11,3 - Highly satisfied
2708,805,2 - Regular,31,Access/Login,Issue,2 - Normal,2 - Medium,0,3 - Highly satisfied
2709,982,3 - Senior,30,Access/Login,Request,2 - Normal,3 - High,0,2 - Satisfied
2710,1598,4 - Management,27,Access/Login,Request,2 - Normal,3 - High,0,2 - Satisfied
2711,1835,1 - Junior,37,Access/Login,Request,2 - Normal,1 - Low,1,0 - Unknown
2712,1290,2 - Regular,3,Systems,Request,2 - Normal,1 - Low,17,0 - Unknown
2713,346,3 - Senior,22,Access/Login,Issue,2 - Normal,3 - High,0,3 - Highly satisfied
2714,193,2 - Regular,13,Access/Login,Request,2 - Normal,3 - High,1,1 - Unsatisfied
2715,1703,1 - Junior,5,Access/Login,Request,2 - Normal,1 - Low,1,3 - Highly satisfied
2716,417,2 - Regular,26,Systems,Request,2 - Normal,0 - Unassigned,14,0 - Unknown
2717,1317,4 - Management,41,Systems,Issue,0 - Unclassified,3 - High,3,0 - Unknown
2718,789,3 - Senior,22,Systems,Request,2 - Normal,0 - Unassigned,14,0 - Unknown
2719,1773,2 - Regular,18,Access/Login,Issue,2 - Normal,3 - High,0,2 - Satisfied
2720,791,4 - Management,22,Access/Login,Request,2 - Normal,3 - High,0,1 - Unsatisfied
2721,168,4 - Management,22,Software,Request,2 - Normal,3 - High,11,0 - Unknown
2722,1928,3 - Senior,36,Hardware,Request,2 - Normal,3 - High,12,1 - Unsatisfied
2723,992,1 - Junior,28,Software,Issue,2 - Normal,3 - High,5,1 - Unsatisfied
2724,1882,2 - Regular,26,Access/Login,Request,3 - Major,3 - High,0,3 - Highly satisfied
2725,1060,2 - Regular,37,Access/Login,Request,2 - Normal,2 - Medium,0,3 - Highly satisfied
2726,1473,3 - Senior,28,Software,Request,2 - Normal,0 - Unassigned,17,0 - Unknown
2727,1287,2 - Regular,44,Software,Request,2 - Normal,3 - High,2,2 - Satisfied
2728,1895,1 - Junior,23,Systems,Request,2 - Normal,2 - Medium,13,2 - Satisfied
2729,1201,1 - Junior,6,Access/Login,Request,2 - Normal,2 - Medium,2,0 - Unknown
2730,350,3 - Senior,32,Systems,Request,3 - Major,2 - Medium,18,3 - Highly satisfied
2731,1964,2 - Regular,20,Access/Login,Issue,2 - Normal,1 - Low,0,3 - Highly satisfied
2732,564,2 - Regular,32,Software,Request,2 - Normal,2 - Medium,8,0 - Unknown
2733,1495,2 - Regular,15,Systems,Request,2 - Normal,0 - Unassigned,7,2 - Satisfied
2734,1957,2 - Regular,18,Access/Login,Request,2 - Normal,1 - Low,2,3 - Highly satisfied
2735,1106,1 - Junior,32,Systems,Request,2 - Normal,0 - Unassigned,18,2 - Satisfied
2736,394,1 - Junior,9,Access/Login,Request,2 - Normal,0 - Unassigned,1,2 - Satisfied
2737,557,2 - Regular,10,Hardware,Request,2 - Normal,3 - High,12,0 - Unknown
2738,1717,3 - Senior,26,Software,Issue,2 - Normal,3 - High,2,3 - Highly satisfied
2739,934,1 - Junior,34,Systems,Issue,2 - Normal,1 - Low,7,3 - Highly satisfied
2740,1961,4 - Management,46,Access/Login,Request,2 - Normal,0 - Unassigned,0,1 - Unsatisfied
2741,1882,2 - Regular,33,Access/Login,Request,2 - Normal,2 - Medium,0,3 - Highly satisfied
2742,355,4 - Management,1,Systems,Request,2 - Normal,0 - Unassigned,22,2 - Satisfied
2743,1275,1 - Junior,31,Hardware,Request,2 - Normal,2 - Medium,13,3 - Highly satisfied
2744,1876,4 - Management,43,Access/Login,Request,2 - Normal,3 - High,0,3 - Highly satisfied
2745,1980,4 - Management,2,Systems,Request,2 - Normal,0 - Unassigned,5,2 - Satisfied
2746,383,2 - Regular,22,Access/Login,Request,2 - Normal,0 - Unassigned,0,2 - Satisfied
2747,665,3 - Senior,48,Hardware,Request,2 - Normal,3 - High,10,2 - Satisfied
2748,1566,2 - Regular,10,Access/Login,Issue,0 - Unclassified,0 - Unassigned,0,3 - Highly satisfied
2749,326,2 - Regular,49,Hardware,Request,2 - Normal,1 - Low,35,0 - Unknown
2750,1603,1 - Junior,26,Systems,Request,2 - Normal,1 - Low,17,1 - Unsatisfied
2751,1928,3 - Senior,31,Access/Login,Request,2 - Normal,3 - High,0,3 - Highly satisfied
2752,919,2 - Regular,46,Systems,Request,2 - Normal,0 - Unassigned,29,0 - Unknown
2753,1547,3 - Senior,38,Software,Issue,2 - Normal,0 - Unassigned,6,3 - Highly satisfied
2754,1152,4 - Management,50,Software,Issue,4 - Critical,3 - High,3,0 - Unknown
2755,1797,2 - Regular,27,Systems,Request,2 - Normal,0 - Unassigned,5,3 - Highly satisfied
2756,544,2 - Regular,13,Software,Request,2 - Normal,3 - High,21,0 - Unknown
2757,1329,3 - Senior,15,Access/Login,Request,2 - Normal,2 - Medium,0,1 - Unsatisfied
2758,1235,2 - Regular,15,Systems,Request,2 - Normal,1 - Low,8,3 - Highly satisfied
2759,1925,2 - Regular,27,Systems,Request,2 - Normal,3 - High,7,3 - Highly satisfied
2760,1005,2 - Regular,34,Access/Login,Request,2 - Normal,1 - Low,0,3 - Highly satisfied
2761,1561,3 - Senior,22,Systems,Request,2 - Normal,3 - High,19,0 - Unknown
2762,1017,2 - Regular,9,Systems,Request,2 - Normal,3 - High,6,3 - Highly satisfied
2763,1052,4 - Management,20,Systems,Request,2 - Normal,3 - High,5,3 - Highly satisfied
2764,6,3 - Senior,40,Access/Login,Request,2 - Normal,3 - High,1,0 - Unknown
2765,800,2 - Regular,43,Access/Login,Request,2 - Normal,3 - High,0,3 - Highly satisfied
2766,81,1 - Junior,44,Systems,Request,2 - Normal,1 - Low,22,2 - Satisfied
2767,248,2 - Regular,19,Systems,Request,3 - Major,3 - High,25,2 - Satisfied
2768,1601,4 - Management,5,Access/Login,Request,3 - Major,3 - High,0,0 - Unknown
2769,101,1 - Junior,32,Systems,Request,2 - Normal,1 - Low,14,3 - Highly satisfied
2770,1852,2 - Regular,22,Systems,Request,2 - Normal,3 - High,15,0 - Unknown
2771,565,2 - Regular,27,Systems,Request,2 - Normal,0 - Unassigned,10,3 - Highly satisfied
2772,1353,2 - Regular,32,Systems,Issue,2 - Normal,3 - High,2,2 - Satisfied
2773,1061,2 - Regular,27,Hardware,Request,2 - Normal,0 - Unassigned,10,3 - Highly satisfied
2774,1518,2 - Regular,4,Access/Login,Request,4 - Critical,0 - Unassigned,0,3 - Highly satisfied
2775,571,2 - Regular,19,Software,Request,2 - Normal,3 - High,3,2 - Satisfied
2776,1720,3 - Senior,25,Access/Login,Request,2 - Normal,3 - High,0,3 - Highly satisfied
2777,1223,2 - Regular,3,Systems,Issue,2 - Normal,3 - High,7,2 - Satisfied
2778,1840,1 - Junior,29,Access/Login,Request,2 - Normal,3 - High,0,3 - Highly satisfied
2779,1551,3 - Senior,11,Access/Login,Request,2 - Normal,2 - Medium,0,2 - Satisfied
2780,1372,2 - Regular,31,Systems,Issue,2 - Normal,0 - Unassigned,4,3 - Highly satisfied
2781,777,1 - Junior,46,Software,Request,2 - Normal,0 - Unassigned,6,0 - Unknown
2782,1292,1 - Junior,32,Software,Request,2 - Normal,0 - Unassigned,11,3 - Highly satisfied
2783,975,4 - Management,32,Software,Request,2 - Normal,0 - Unassigned,7,3 - Highly satisfied
2784,178,2 - Regular,28,Access/Login,Issue,2 - Normal,0 - Unassigned,1,3 - Highly satisfied
2785,1289,1 - Junior,18,Hardware,Request,2 - Normal,1 - Low,33,3 - Highly satisfied
2786,526,4 - Management,42,Software,Request,2 - Normal,3 - High,4,0 - Unknown
2787,438,4 - Management,23,Systems,Issue,3 - Major,3 - High,1,2 - Satisfied
2788,437,1 - Junior,47,Access/Login,Issue,1 - Minor,1 - Low,0,0 - Unknown
2789,821,1 - Junior,7,Access/Login,Request,2 - Normal,3 - High,0,3 - Highly satisfied
2790,268,1 - Junior,36,Software,Request,2 - Normal,3 - High,4,2 - Satisfied
2791,291,1 - Junior,31,Systems,Issue,2 - Normal,2 - Medium,2,0 - Unknown
2792,30,2 - Regular,42,Hardware,Issue,2 - Normal,1 - Low,11,3 - Highly satisfied
2793,54,2 - Regular,2,Access/Login,Request,2 - Normal,0 - Unassigned,0,2 - Satisfied
2794,625,1 - Junior,26,Access/Login,Issue,2 - Normal,2 - Medium,1,1 - Unsatisfied
2795,1812,4 - Management,3,Systems,Request,2 - Normal,2 - Medium,16,1 - Unsatisfied
2796,1076,2 - Regular,26,Systems,Request,2 - Normal,0 - Unassigned,9,0 - Unknown
2797,1787,3 - Senior,47,Systems,Request,2 - Normal,3 - High,5,3 - Highly satisfied
2798,1715,3 - Senior,31,Systems,Request,2 - Normal,3 - High,8,0 - Unknown
2799,467,2 - Regular,28,Access/Login,Issue,2 - Normal,0 - Unassigned,0,0 - Unknown
2800,1330,2 - Regular,33,Access/Login,Issue,2 - Normal,2 - Medium,1,3 - Highly satisfied
2801,647,1 - Junior,17,Access/Login,Request,2 - Normal,2 - Medium,0,3 - Highly satisfied
2802,1282,1 - Junior,47,Access/Login,Request,2 - Normal,2 - Medium,0,3 - Highly satisfied
2803,1942,2 - Regular,36,Systems,Request,2 - Normal,1 - Low,10,3 - Highly satisfied
2804,496,2 - Regular,27,Systems,Issue,2 - Normal,3 - High,1,3 - Highly satisfied
2805,1734,1 - Junior,24,Systems,Request,2 - Normal,2 - Medium,6,1 - Unsatisfied
2806,1863,2 - Regular,19,Software,Issue,2 - Normal,3 - High,0,3 - Highly satisfied
2807,1637,3 - Senior,38,Access/Login,Request,2 - Normal,0 - Unassigned,0,0 - Unknown
2808,11,2 - Regular,42,Access/Login,Request,2 - Normal,3 - High,0,2 - Satisfied
2809,929,4 - Management,1,Access/Login,Issue,2 - Normal,3 - High,1,0 - Unknown
2810,1968,1 - Junior,26,Systems,Request,2 - Normal,3 - High,5,2 - Satisfied
2811,182,4 - Management,44,Access/Login,Issue,2 - Normal,3 - High,0,2 - Satisfied
2812,1497,1 - Junior,30,Systems,Issue,2 - Normal,2 - Medium,4,2 - Satisfied
2813,621,3 - Senior,30,Systems,Request,2 - Normal,1 - Low,13,2 - Satisfied
2814,1927,2 - Regular,12,Software,Request,2 - Normal,2 - Medium,4,1 - Unsatisfied
2815,1554,2 - Regular,20,Software,Issue,2 - Normal,1 - Low,4,3 - Highly satisfied
2816,1323,3 - Senior,14,Access/Login,Request,2 - Normal,3 - High,0,1 - Unsatisfied
2817,1668,1 - Junior,38,Access/Login,Issue,2 - Normal,0 - Unassigned,0,2 - Satisfied
2818,6,3 - Senior,19,Systems,Request,2 - Normal,2 - Medium,20,1 - Unsatisfied
2819,359,1 - Junior,31,Systems,Issue,2 - Normal,3 - High,6,3 - Highly satisfied
2820,529,2 - Regular,50,Access/Login,Issue,3 - Major,0 - Unassigned,0,2 - Satisfied
2821,1395,2 - Regular,10,Systems,Request,2 - Normal,0 - Unassigned,13,0 - Unknown
2822,1128,2 - Regular,48,Systems,Issue,2 - Normal,2 - Medium,1,3 - Highly satisfied
2823,1555,2 - Regular,50,Access/Login,Request,2 - Normal,0 - Unassigned,1,1 - Unsatisfied
2824,257,2 - Regular,39,Access/Login,Issue,1 - Minor,3 - High,1,0 - Unknown
2825,1291,1 - Junior,4,Hardware,Request,2 - Normal,1 - Low,29,1 - Unsatisfied
2826,1881,2 - Regular,1,Access/Login,Issue,2 - Normal,0 - Unassigned,0,3 - Highly satisfied
2827,827,2 - Regular,37,Systems,Issue,2 - Normal,0 - Unassigned,7,3 - Highly satisfied
2828,1570,1 - Junior,3,Access/Login,Issue,2 - Normal,1 - Low,0,1 - Unsatisfied
2829,671,2 - Regular,3,Systems,Request,2 - Normal,1 - Low,19,0 - Unknown
2830,1839,3 - Senior,7,Access/Login,Issue,2 - Normal,2 - Medium,1,1 - Unsatisfied
2831,237,1 - Junior,11,Hardware,Issue,2 - Normal,1 - Low,18,0 - Unknown
2832,837,4 - Management,46,Access/Login,Issue,2 - Normal,0 - Unassigned,1,3 - Highly satisfied
2833,345,1 - Junior,16,Software,Request,2 - Normal,2 - Medium,7,1 - Unsatisfied
2834,1225,3 - Senior,38,Systems,Issue,2 - Normal,3 - High,2,2 - Satisfied
2835,855,4 - Management,35,Access/Login,Request,2 - Normal,3 - High,0,0 - Unknown
2836,687,1 - Junior,4,Access/Login,Request,2 - Normal,1 - Low,0,2 - Satisfied
2837,1210,2 - Regular,40,Access/Login,Request,3 - Major,3 - High,1,3 - Highly satisfied
2838,1571,1 - Junior,11,Hardware,Request,3 - Major,2 - Medium,29,1 - Unsatisfied
2839,1617,4 - Management,17,Software,Request,2 - Normal,3 - High,3,2 - Satisfied
2840,1932,4 - Management,48,Systems,Request,2 - Normal,3 - High,8,3 - Highly satisfied
2841,1981,2 - Regular,33,Access/Login,Request,2 - Normal,1 - Low,0,3 - Highly satisfied
2842,1680,2 - Regular,4,Software,Request,4 - Critical,2 - Medium,9,2 - Satisfied
2843,244,1 - Junior,27,Software,Request,2 - Normal,0 - Unassigned,3,0 - Unknown
2844,697,4 - Management,5,Access/Login,Request,2 - Normal,0 - Unassigned,0,0 - Unknown
2845,666,2 - Regular,15,Systems,Issue,2 - Normal,3 - High,4,3 - Highly satisfied
2846,1891,1 - Junior,34,Access/Login,Request,2 - Normal,1 - Low,0,0 - Unknown
2847,900,4 - Management,47,Systems,Request,2 - Normal,0 - Unassigned,7,2 - Satisfied
2848,618,4 - Management,5,Systems,Request,2 - Normal,3 - High,10,3 - Highly satisfied
2849,550,1 - Junior,23,Hardware,Request,2 - Normal,1 - Low,26,2 - Satisfied
2850,1285,1 - Junior,14,Hardware,Request,2 - Normal,0 - Unassigned,12,2 - Satisfied
2851,1263,3 - Senior,32,Software,Request,2 - Normal,0 - Unassigned,3,3 - Highly satisfied
2852,1795,1 - Junior,39,Software,Request,2 - Normal,3 - High,14,0 - Unknown
2853,179,2 - Regular,14,Systems,Issue,2 - Normal,0 - Unassigned,8,0 - Unknown
2854,966,3 - Senior,15,Access/Login,Issue,2 - Normal,0 - Unassigned,0,3 - Highly satisfied
2855,1373,3 - Senior,37,Access/Login,Request,2 - Normal,0 - Unassigned,0,3 - Highly satisfied
2856,1236,1 - Junior,25,Systems,Request,2 - Normal,1 - Low,17,0 - Unknown
2857,1856,2 - Regular,2,Hardware,Request,2 - Normal,3 - High,10,0 - Unknown
2858,568,3 - Senior,8,Systems,Request,2 - Normal,3 - High,8,0 - Unknown
2859,808,2 - Regular,28,Hardware,Request,3 - Major,2 - Medium,27,0 - Unknown
2860,27,1 - Junior,23,Software,Request,2 - Normal,1 - Low,8,2 - Satisfied
2861,1464,3 - Senior,19,Access/Login,Request,2 - Normal,2 - Medium,0,3 - Highly satisfied
2862,748,3 - Senior,45,Software,Request,2 - Normal,3 - High,4,3 - Highly satisfied
2863,1356,2 - Regular,7,Hardware,Issue,2 - Normal,3 - High,13,2 - Satisfied
2864,1881,2 - Regular,28,Access/Login,Issue,2 - Normal,1 - Low,3,1 - Unsatisfied
2865,1337,2 - Regular,1,Access/Login,Request,1 - Minor,3 - High,0,1 - Unsatisfied
2866,46,4 - Management,6,Software,Issue,4 - Critical,0 - Unassigned,3,1 - Unsatisfied
2867,787,2 - Regular,41,Access/Login,Issue,2 - Normal,0 - Unassigned,1,3 - Highly satisfied
2868,1782,4 - Management,38,Systems,Request,2 - Normal,3 - High,5,2 - Satisfied
2869,1617,4 - Management,46,Access/Login,Request,2 - Normal,1 - Low,0,1 - Unsatisfied
2870,5,2 - Regular,16,Software,Request,2 - Normal,2 - Medium,4,0 - Unknown
2871,605,3 - Senior,42,Software,Request,2 - Normal,3 - High,5,2 - Satisfied
2872,748,3 - Senior,16,Software,Issue,2 - Normal,3 - High,0,3 - Highly satisfied
2873,163,4 - Management,12,Access/Login,Issue,2 - Normal,3 - High,0,0 - Unknown
2874,397,4 - Management,36,Access/Login,Request,1 - Minor,3 - High,0,3 - Highly satisfied
2875,743,4 - Management,26,Systems,Request,2 - Normal,0 - Unassigned,8,1 - Unsatisfied
2876,548,4 - Management,37,Access/Login,Request,2 - Normal,0 - Unassigned,1,3 - Highly satisfied
2877,882,3 - Senior,47,Access/Login,Request,2 - Normal,0 - Unassigned,0,3 - Highly satisfied
2878,184,1 - Junior,9,Access/Login,Request,2 - Normal,1 - Low,1,2 - Satisfied
2879,700,3 - Senior,44,Systems,Request,2 - Normal,0 - Unassigned,6,3 - Highly satisfied
2880,868,2 - Regular,17,Systems,Request,2 - Normal,2 - Medium,6,0 - Unknown
2881,1446,2 - Regular,43,Software,Issue,0 - Unclassified,1 - Low,2,1 - Unsatisfied
2882,1272,3 - Senior,13,Access/Login,Request,1 - Minor,0 - Unassigned,0,1 - Unsatisfied
