action_type,combined_shot_type,game_event_id,game_id,lat,loc_x,loc_y,lon,minutes_remaining,period,playoffs,season,seconds_remaining,shot_distance,label,shot_type,shot_zone_area,shot_zone_basic,shot_zone_range,team_id,team_name,game_date,matchup,opponent,shot_id
Jump Shot,Jump Shot,185,20500658,34.0323,-241,12,-118.5108,5,2,0,2005-06,22,24,0.0,3PT Field Goal,Left Side(L),Left Corner 3,24+ ft.,1610612747,Los Angeles Lakers,2006-01-31,LAL @ NYK,NYK,8675
Jump Shot,Jump Shot,204,20500658,33.8193,-122,225,-118.3918,3,2,0,2005-06,58,25,0.0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2006-01-31,LAL @ NYK,NYK,8676
Layup Shot,Layup,207,20500658,34.0443,0,0,-118.2698,3,2,0,2005-06,30,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2006-01-31,LAL @ NYK,NYK,8677
Driving Layup Shot,Layup,215,20500658,34.0443,0,0,-118.2698,3,2,0,2005-06,4,0,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2006-01-31,LAL @ NYK,NYK,8678
Jump Shot,Jump Shot,228,20500658,34.0273,54,17,-118.2158,1,2,0,2005-06,58,5,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,2006-01-31,LAL @ NYK,NYK,8679
Jump Shot,Jump Shot,240,20500658,33.9833,187,61,-118.0828,0,2,0,2005-06,1,19,0.0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2006-01-31,LAL @ NYK,NYK,8680
Jump Shot,Jump Shot,403,20500658,33.8063,-52,238,-118.3218,10,4,0,2005-06,32,24,1.0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2006-01-31,LAL @ NYK,NYK,8681
Jump Shot,Jump Shot,409,20500658,33.8303,136,214,-118.1338,9,4,0,2005-06,31,25,,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2006-01-31,LAL @ NYK,NYK,8682
Jump Shot,Jump Shot,8,20500664,33.9343,163,110,-118.1068,11,1,0,2005-06,2,19,0.0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2006-02-01,LAL @ IND,IND,8683
Jump Shot,Jump Shot,11,20500664,33.9633,166,81,-118.1038,10,1,0,2005-06,16,18,1.0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2006-02-01,LAL @ IND,IND,8684
Jump Shot,Jump Shot,15,20500664,33.9733,10,71,-118.2598,9,1,0,2005-06,57,7,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,2006-02-01,LAL @ IND,IND,8685
Layup Shot,Layup,26,20500664,34.0193,-8,25,-118.2778,8,1,0,2005-06,28,2,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2006-02-01,LAL @ IND,IND,8686
Jump Shot,Jump Shot,30,20500664,34.0493,187,-5,-118.0828,7,1,0,2005-06,57,18,0.0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2006-02-01,LAL @ IND,IND,8687
Jump Shot,Jump Shot,34,20500664,34.0133,6,31,-118.2638,7,1,0,2005-06,47,3,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2006-02-01,LAL @ IND,IND,8688
Driving Layup Shot,Layup,45,20500664,34.0223,0,22,-118.2698,6,1,0,2005-06,39,2,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2006-02-01,LAL @ IND,IND,8689
Jump Shot,Jump Shot,50,20500664,33.8013,-69,243,-118.3388,6,1,0,2005-06,14,25,0.0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2006-02-01,LAL @ IND,IND,8690
Jump Shot,Jump Shot,66,20500664,33.8993,-138,145,-118.4078,4,1,0,2005-06,32,20,1.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2006-02-01,LAL @ IND,IND,8691
Layup Shot,Layup,71,20500664,34.0243,13,20,-118.2568,3,1,0,2005-06,34,2,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2006-02-01,LAL @ IND,IND,8692
Turnaround Finger Roll Shot,Layup,102,20500664,34.0133,0,31,-118.2698,1,1,0,2005-06,21,3,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2006-02-01,LAL @ IND,IND,8693
Jump Shot,Jump Shot,166,20500664,34.0093,115,35,-118.1548,6,2,0,2005-06,30,12,0.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2006-02-01,LAL @ IND,IND,8694
Jump Shot,Jump Shot,216,20500664,34.0093,241,35,-118.0288,1,2,0,2005-06,22,24,,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,1610612747,Los Angeles Lakers,2006-02-01,LAL @ IND,IND,8695
Jump Shot,Jump Shot,223,20500664,33.8703,-172,174,-118.4418,0,2,0,2005-06,35,24,1.0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2006-02-01,LAL @ IND,IND,8696
Jump Shot,Jump Shot,225,20500664,33.7863,-11,258,-118.2808,0,2,0,2005-06,8,25,0.0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2006-02-01,LAL @ IND,IND,8697
Jump Shot,Jump Shot,233,20500664,33.9553,-161,89,-118.4308,11,3,0,2005-06,21,18,,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2006-02-01,LAL @ IND,IND,8698
Jump Shot,Jump Shot,247,20500664,33.8433,5,201,-118.2648,9,3,0,2005-06,40,20,0.0,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2006-02-01,LAL @ IND,IND,8699
Jump Shot,Jump Shot,255,20500664,34.0653,-49,-21,-118.3188,8,3,0,2005-06,55,5,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,2006-02-01,LAL @ IND,IND,8700
Jump Shot,Jump Shot,302,20500664,33.8713,195,173,-118.0748,4,3,0,2005-06,22,26,1.0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2006-02-01,LAL @ IND,IND,8701
Jump Shot,Jump Shot,318,20500664,33.7963,8,248,-118.2618,2,3,0,2005-06,54,24,0.0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2006-02-01,LAL @ IND,IND,8702
Jump Shot,Jump Shot,341,20500664,34.0083,164,36,-118.1058,0,3,0,2005-06,58,16,,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2006-02-01,LAL @ IND,IND,8703
Driving Finger Roll Shot,Layup,348,20500664,34.0143,11,30,-118.2588,0,3,0,2005-06,40,3,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2006-02-01,LAL @ IND,IND,8704
Jump Shot,Jump Shot,419,20500664,33.8093,-118,235,-118.3878,5,4,0,2005-06,46,26,0.0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2006-02-01,LAL @ IND,IND,8705
Jump Shot,Jump Shot,435,20500664,33.7763,-3,268,-118.2728,4,4,0,2005-06,10,26,0.0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2006-02-01,LAL @ IND,IND,8706
Layup Shot,Layup,26,20500679,34.0443,0,0,-118.2698,9,1,0,2005-06,4,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2006-02-03,LAL @ CHA,CHA,8707
Jump Shot,Jump Shot,67,20500679,33.8683,-171,176,-118.4408,5,1,0,2005-06,34,24,1.0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2006-02-03,LAL @ CHA,CHA,8708
Jump Shot,Jump Shot,76,20500679,33.8203,126,224,-118.1438,3,1,0,2005-06,31,25,,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2006-02-03,LAL @ CHA,CHA,8709
Reverse Dunk Shot,Dunk,84,20500679,34.0443,0,0,-118.2698,2,1,0,2005-06,32,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2006-02-03,LAL @ CHA,CHA,8710
Jump Shot,Jump Shot,186,20500679,34.0113,158,33,-118.1118,4,2,0,2005-06,54,16,1.0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2006-02-03,LAL @ CHA,CHA,8711
Jump Shot,Jump Shot,191,20500679,33.9523,98,92,-118.1718,4,2,0,2005-06,14,13,0.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2006-02-03,LAL @ CHA,CHA,8712
Jump Shot,Jump Shot,203,20500679,33.8353,161,209,-118.1088,2,2,0,2005-06,34,26,0.0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2006-02-03,LAL @ CHA,CHA,8713
Reverse Layup Shot,Layup,212,20500679,34.0443,0,0,-118.2698,2,2,0,2005-06,15,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2006-02-03,LAL @ CHA,CHA,8714
Jump Shot,Jump Shot,217,20500679,34.0013,-43,43,-118.3128,1,2,0,2005-06,44,6,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,2006-02-03,LAL @ CHA,CHA,8715
Jump Shot,Jump Shot,246,20500679,33.8763,141,168,-118.1288,11,3,0,2005-06,37,21,,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2006-02-03,LAL @ CHA,CHA,8716
Jump Shot,Jump Shot,250,20500679,34.0323,-195,12,-118.4648,11,3,0,2005-06,1,19,1.0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2006-02-03,LAL @ CHA,CHA,8717
Fadeaway Jump Shot,Jump Shot,271,20500679,34.0083,159,36,-118.1108,8,3,0,2005-06,5,16,1.0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2006-02-03,LAL @ CHA,CHA,8718
Jump Shot,Jump Shot,296,20500679,33.8993,-115,145,-118.3848,5,3,0,2005-06,19,18,1.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2006-02-03,LAL @ CHA,CHA,8719
Turnaround Jump Shot,Jump Shot,302,20500679,34.0293,161,15,-118.1088,4,3,0,2005-06,14,16,1.0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2006-02-03,LAL @ CHA,CHA,8720
Jump Shot,Jump Shot,361,20500679,33.8023,-11,242,-118.2808,0,3,0,2005-06,28,24,1.0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2006-02-03,LAL @ CHA,CHA,8721
Jump Shot,Jump Shot,386,20500679,33.8683,172,176,-118.0978,10,4,0,2005-06,26,24,0.0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2006-02-03,LAL @ CHA,CHA,8722
Jump Shot,Jump Shot,426,20500679,33.9033,207,141,-118.0628,7,4,0,2005-06,21,25,,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2006-02-03,LAL @ CHA,CHA,8723
Jump Shot,Jump Shot,487,20500679,33.8153,-107,229,-118.3768,1,4,0,2005-06,0,25,0.0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2006-02-03,LAL @ CHA,CHA,8724
Jump Shot,Jump Shot,17,20500689,34.0343,148,10,-118.1218,10,1,0,2005-06,9,14,0.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2006-02-04,LAL @ NOK,NOP,8725
Jump Shot,Jump Shot,21,20500689,33.9653,146,79,-118.1238,9,1,0,2005-06,29,16,0.0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2006-02-04,LAL @ NOK,NOP,8726
Jump Shot,Jump Shot,23,20500689,33.8603,164,184,-118.1058,9,1,0,2005-06,25,24,1.0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2006-02-04,LAL @ NOK,NOP,8727
Jump Shot,Jump Shot,27,20500689,34.0143,161,30,-118.1088,8,1,0,2005-06,56,16,1.0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2006-02-04,LAL @ NOK,NOP,8728
Jump Shot,Jump Shot,32,20500689,33.9763,89,68,-118.1808,8,1,0,2005-06,17,11,1.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2006-02-04,LAL @ NOK,NOP,8729
Jump Shot,Jump Shot,49,20500689,33.9503,-135,94,-118.4048,6,1,0,2005-06,29,16,1.0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2006-02-04,LAL @ NOK,NOP,8730
Jump Shot,Jump Shot,55,20500689,33.8373,-128,207,-118.3978,5,1,0,2005-06,54,24,1.0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2006-02-04,LAL @ NOK,NOP,8731
Jump Shot,Jump Shot,70,20500689,33.8663,166,178,-118.1038,4,1,0,2005-06,51,24,1.0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2006-02-04,LAL @ NOK,NOP,8732
Jump Shot,Jump Shot,78,20500689,33.8913,-191,153,-118.4608,4,1,0,2005-06,0,24,0.0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2006-02-04,LAL @ NOK,NOP,8733
Jump Shot,Jump Shot,102,20500689,33.8633,-172,181,-118.4418,2,1,0,2005-06,28,24,0.0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2006-02-04,LAL @ NOK,NOP,8734
Layup Shot,Layup,110,20500689,34.0443,0,0,-118.2698,1,1,0,2005-06,13,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2006-02-04,LAL @ NOK,NOP,8735
Fadeaway Jump Shot,Jump Shot,116,20500689,33.9723,-153,72,-118.4228,0,1,0,2005-06,40,16,0.0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2006-02-04,LAL @ NOK,NOP,8736
Fadeaway Jump Shot,Jump Shot,122,20500689,33.9903,144,54,-118.1258,0,1,0,2005-06,0,15,,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2006-02-04,LAL @ NOK,NOP,8737
Jump Shot,Jump Shot,157,20500689,33.8803,-187,164,-118.4568,8,2,0,2005-06,14,24,0.0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2006-02-04,LAL @ NOK,NOP,8738
Jump Shot,Jump Shot,163,20500689,33.9763,-2,68,-118.2718,7,2,0,2005-06,31,6,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,2006-02-04,LAL @ NOK,NOP,8739
Jump Shot,Jump Shot,207,20500689,33.9903,131,54,-118.1388,2,2,0,2005-06,32,14,0.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2006-02-04,LAL @ NOK,NOP,8740
Jump Shot,Jump Shot,245,20500689,33.8423,158,202,-118.1118,0,2,0,2005-06,0,25,1.0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2006-02-04,LAL @ NOK,NOP,8741
Jump Shot,Jump Shot,261,20500689,33.8913,-200,153,-118.4698,10,3,0,2005-06,28,25,0.0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2006-02-04,LAL @ NOK,NOP,8742
Dunk Shot,Dunk,281,20500689,34.0443,0,0,-118.2698,7,3,0,2005-06,42,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2006-02-04,LAL @ NOK,NOP,8743
Driving Dunk Shot,Dunk,300,20500689,34.0443,0,0,-118.2698,5,3,0,2005-06,20,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2006-02-04,LAL @ NOK,NOP,8744
Jump Shot,Jump Shot,349,20500689,33.8533,159,191,-118.1108,2,3,0,2005-06,8,24,1.0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2006-02-04,LAL @ NOK,NOP,8745
Jump Shot,Jump Shot,359,20500689,33.8403,140,204,-118.1298,0,3,0,2005-06,55,24,0.0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2006-02-04,LAL @ NOK,NOP,8746
Jump Shot,Jump Shot,469,20500689,33.8453,172,199,-118.0978,3,4,0,2005-06,32,26,0.0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2006-02-04,LAL @ NOK,NOP,8747
Layup Shot,Layup,472,20500689,34.0443,0,0,-118.2698,3,4,0,2005-06,21,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2006-02-04,LAL @ NOK,NOP,8748
Fadeaway Jump Shot,Jump Shot,477,20500689,34.0213,159,23,-118.1108,3,4,0,2005-06,9,16,1.0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2006-02-04,LAL @ NOK,NOP,8749
Fadeaway Jump Shot,Jump Shot,487,20500689,34.0293,153,15,-118.1168,2,4,0,2005-06,11,15,0.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2006-02-04,LAL @ NOK,NOP,8750
Jump Shot,Jump Shot,8,20500709,34.0293,190,15,-118.0798,10,1,0,2005-06,29,19,0.0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2006-02-07,LAL @ DAL,DAL,8751
Jump Shot,Jump Shot,37,20500709,34.0163,115,28,-118.1548,7,1,0,2005-06,9,11,0.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2006-02-07,LAL @ DAL,DAL,8752
Jump Shot,Jump Shot,39,20500709,34.0183,190,26,-118.0798,7,1,0,2005-06,4,19,,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2006-02-07,LAL @ DAL,DAL,8753
Jump Shot,Jump Shot,49,20500709,33.8473,-154,197,-118.4238,6,1,0,2005-06,9,25,1.0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2006-02-07,LAL @ DAL,DAL,8754
Jump Shot,Jump Shot,66,20500709,33.7763,57,268,-118.2128,3,1,0,2005-06,43,27,0.0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2006-02-07,LAL @ DAL,DAL,8755
Jump Shot,Jump Shot,88,20500709,34.0623,-164,-18,-118.4338,1,1,0,2005-06,37,16,0.0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2006-02-07,LAL @ DAL,DAL,8756
Running Jump Shot,Jump Shot,99,20500709,34.0163,77,28,-118.1928,0,1,0,2005-06,45,8,1.0,2PT Field Goal,Right Side(R),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2006-02-07,LAL @ DAL,DAL,8757
Jump Shot,Jump Shot,213,20500709,33.8833,-181,161,-118.4508,0,2,0,2005-06,1,24,0.0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2006-02-07,LAL @ DAL,DAL,8758
Jump Shot,Jump Shot,221,20500709,33.8423,-80,202,-118.3498,11,3,0,2005-06,48,21,0.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2006-02-07,LAL @ DAL,DAL,8759
Jump Shot,Jump Shot,228,20500709,33.8803,-184,164,-118.4538,10,3,0,2005-06,53,24,0.0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2006-02-07,LAL @ DAL,DAL,8760
Jump Shot,Jump Shot,259,20500709,33.8833,-182,161,-118.4518,7,3,0,2005-06,45,24,1.0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2006-02-07,LAL @ DAL,DAL,8761
Jump Shot,Jump Shot,262,20500709,33.9123,136,132,-118.1338,7,3,0,2005-06,2,18,0.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2006-02-07,LAL @ DAL,DAL,8762
Driving Layup Shot,Layup,275,20500709,34.0443,0,0,-118.2698,6,3,0,2005-06,11,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2006-02-07,LAL @ DAL,DAL,8763
Jump Shot,Jump Shot,307,20500709,33.8683,103,176,-118.1668,2,3,0,2005-06,59,20,0.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2006-02-07,LAL @ DAL,DAL,8764
Layup Shot,Layup,324,20500709,34.0443,0,0,-118.2698,1,3,0,2005-06,21,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2006-02-07,LAL @ DAL,DAL,8765
Jump Shot,Jump Shot,333,20500709,33.8763,-200,168,-118.4698,0,3,0,2005-06,29,26,0.0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2006-02-07,LAL @ DAL,DAL,8766
Jump Shot,Jump Shot,363,20500709,33.7813,-171,263,-118.4408,9,4,0,2005-06,16,31,0.0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2006-02-07,LAL @ DAL,DAL,8767
Jump Shot,Jump Shot,398,20500709,33.8013,163,243,-118.1068,6,4,0,2005-06,27,29,1.0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2006-02-07,LAL @ DAL,DAL,8768
Jump Shot,Jump Shot,400,20500709,33.8843,-182,160,-118.4518,6,4,0,2005-06,8,24,0.0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2006-02-07,LAL @ DAL,DAL,8769
Jump Shot,Jump Shot,422,20500709,33.8653,-225,179,-118.4948,5,4,0,2005-06,10,28,0.0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2006-02-07,LAL @ DAL,DAL,8770
Reverse Layup Shot,Layup,438,20500709,34.0443,0,0,-118.2698,2,4,0,2005-06,41,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2006-02-07,LAL @ DAL,DAL,8771
Jump Shot,Jump Shot,465,20500709,33.7993,46,245,-118.2238,1,4,0,2005-06,15,24,0.0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2006-02-07,LAL @ DAL,DAL,8772
Layup Shot,Layup,60,20500720,34.0443,0,0,-118.2698,4,1,0,2005-06,33,0,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2006-02-08,LAL @ HOU,HOU,8773
Jump Shot,Jump Shot,90,20500720,33.8403,176,204,-118.0938,0,1,0,2005-06,46,26,,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2006-02-08,LAL @ HOU,HOU,8774
Jump Shot,Jump Shot,120,20500720,33.8933,-163,151,-118.4328,10,2,0,2005-06,15,22,1.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2006-02-08,LAL @ HOU,HOU,8775
Jump Shot,Jump Shot,151,20500720,33.8013,-80,243,-118.3498,6,2,0,2005-06,31,25,0.0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2006-02-08,LAL @ HOU,HOU,8776
Jump Shot,Jump Shot,170,20500720,33.9653,125,79,-118.1448,4,2,0,2005-06,49,14,1.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2006-02-08,LAL @ HOU,HOU,8777
Reverse Layup Shot,Layup,181,20500720,34.0443,0,0,-118.2698,3,2,0,2005-06,57,0,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2006-02-08,LAL @ HOU,HOU,8778
Jump Shot,Jump Shot,191,20500720,34.0213,-153,23,-118.4228,2,2,0,2005-06,3,15,1.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2006-02-08,LAL @ HOU,HOU,8779
Jump Shot,Jump Shot,216,20500720,33.8683,195,176,-118.0748,11,3,0,2005-06,15,26,0.0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2006-02-08,LAL @ HOU,HOU,8780
Fadeaway Jump Shot,Jump Shot,239,20500720,34.0443,144,0,-118.1258,8,3,0,2005-06,24,14,0.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2006-02-08,LAL @ HOU,HOU,8781
Jump Shot,Jump Shot,242,20500720,33.8883,97,156,-118.1728,7,3,0,2005-06,59,18,0.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2006-02-08,LAL @ HOU,HOU,8782
Jump Shot,Jump Shot,251,20500720,33.8993,38,145,-118.2318,6,3,0,2005-06,9,14,1.0,2PT Field Goal,Center(C),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2006-02-08,LAL @ HOU,HOU,8783
Turnaround Jump Shot,Jump Shot,253,20500720,33.9883,-133,56,-118.4028,5,3,0,2005-06,33,14,1.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2006-02-08,LAL @ HOU,HOU,8784
