ticket,requestor,RequestorSeniority,ITOwner,FiledAgainst,TicketType,Severity,Priority,daysOpen,label
13711,92,2 - Regular,2,Systems,Request,2 - Normal,1 - Low,5,0 - Unknown
13712,544,2 - Regular,43,Systems,Issue,2 - Normal,3 - High,1,0 - Unknown
13713,1012,3 - Senior,34,Systems,Issue,2 - Normal,3 - High,2,3 - Highly satisfied
13714,214,3 - Senior,14,Software,Request,2 - Normal,3 - High,9,2 - Satisfied
13715,118,2 - Regular,18,Software,Issue,3 - Major,3 - High,1,0 - Unknown
13716,1577,2 - Regular,22,Hardware,Request,3 - Major,2 - Medium,32,0 - Unknown
13717,965,2 - Regular,24,Access/Login,Request,2 - Normal,3 - High,0,2 - Satisfied
13718,14,4 - Management,37,Systems,Request,2 - Normal,3 - High,5,1 - Unsatisfied
13719,591,2 - Regular,8,Access/Login,Request,2 - Normal,1 - Low,0,2 - Satisfied
13720,1030,3 - Senior,6,Systems,Request,2 - Normal,3 - High,17,1 - Unsatisfied
13721,1306,3 - Senior,47,Access/Login,Request,2 - Normal,2 - Medium,1,0 - Unknown
13722,1188,1 - Junior,22,Systems,Request,2 - Normal,2 - Medium,18,2 - Satisfied
13723,92,2 - Regular,3,Systems,Issue,1 - Minor,2 - Medium,7,2 - Satisfied
13724,915,3 - Senior,46,Access/Login,Request,2 - Normal,3 - High,2,3 - Highly satisfied
13725,1706,2 - Regular,48,Systems,Request,2 - Normal,3 - High,5,1 - Unsatisfied
13726,598,1 - Junior,26,Systems,Issue,2 - Normal,0 - Unassigned,7,3 - Highly satisfied
13727,1827,1 - Junior,41,Software,Issue,2 - Normal,0 - Unassigned,12,2 - Satisfied
13728,993,2 - Regular,34,Software,Request,2 - Normal,0 - Unassigned,3,0 - Unknown
13729,1016,1 - Junior,15,Software,Request,2 - Normal,2 - Medium,4,0 - Unknown
13730,505,2 - Regular,49,Access/Login,Request,2 - Normal,3 - High,0,1 - Unsatisfied
13731,241,3 - Senior,10,Software,Request,2 - Normal,3 - High,3,3 - Highly satisfied
13732,1875,3 - Senior,1,Systems,Request,2 - Normal,3 - High,22,1 - Unsatisfied
13733,950,4 - Management,33,Access/Login,Request,2 - Normal,3 - High,0,2 - Satisfied
13734,1926,2 - Regular,20,Systems,Request,2 - Normal,1 - Low,16,0 - Unknown
13735,1037,1 - Junior,27,Software,Issue,2 - Normal,1 - Low,1,2 - Satisfied
13736,621,3 - Senior,2,Systems,Request,2 - Normal,0 - Unassigned,5,3 - Highly satisfied
13737,403,2 - Regular,42,Systems,Issue,2 - Normal,2 - Medium,4,3 - Highly satisfied
13738,526,4 - Management,3,Systems,Request,2 - Normal,0 - Unassigned,27,1 - Unsatisfied
13739,219,4 - Management,4,Access/Login,Request,2 - Normal,3 - High,0,1 - Unsatisfied
13740,776,3 - Senior,36,Software,Issue,2 - Normal,2 - Medium,0,3 - Highly satisfied
13741,300,3 - Senior,39,Access/Login,Request,2 - Normal,3 - High,0,2 - Satisfied
13742,693,2 - Regular,42,Access/Login,Request,2 - Normal,1 - Low,1,2 - Satisfied
13743,814,3 - Senior,50,Access/Login,Request,2 - Normal,0 - Unassigned,0,1 - Unsatisfied
13744,157,3 - Senior,23,Software,Issue,2 - Normal,0 - Unassigned,1,2 - Satisfied
13745,706,2 - Regular,45,Hardware,Request,2 - Normal,2 - Medium,10,0 - Unknown
13746,1684,2 - Regular,33,Hardware,Request,2 - Normal,3 - High,14,3 - Highly satisfied
13747,172,2 - Regular,45,Access/Login,Issue,2 - Normal,1 - Low,0,3 - Highly satisfied
13748,760,3 - Senior,44,Access/Login,Request,2 - Normal,3 - High,1,3 - Highly satisfied
13749,1616,1 - Junior,21,Systems,Request,2 - Normal,2 - Medium,6,3 - Highly satisfied
13750,1228,4 - Management,44,Software,Issue,2 - Normal,3 - High,2,1 - Unsatisfied
13751,310,2 - Regular,44,Systems,Request,2 - Normal,3 - High,6,2 - Satisfied
13752,1155,1 - Junior,15,Systems,Issue,2 - Normal,3 - High,2,2 - Satisfied
13753,1321,2 - Regular,38,Systems,Request,2 - Normal,2 - Medium,19,1 - Unsatisfied
13754,1825,1 - Junior,15,Systems,Request,2 - Normal,2 - Medium,9,0 - Unknown
13755,1175,2 - Regular,48,Systems,Request,2 - Normal,2 - Medium,5,3 - Highly satisfied
13756,1622,2 - Regular,37,Systems,Issue,2 - Normal,1 - Low,4,1 - Unsatisfied
13757,1710,2 - Regular,22,Access/Login,Request,2 - Normal,2 - Medium,2,1 - Unsatisfied
13758,1466,3 - Senior,4,Access/Login,Request,2 - Normal,3 - High,0,3 - Highly satisfied
13759,1391,4 - Management,22,Systems,Request,2 - Normal,3 - High,14,1 - Unsatisfied
13760,270,1 - Junior,38,Access/Login,Issue,1 - Minor,0 - Unassigned,0,0 - Unknown
13761,350,3 - Senior,12,Software,Request,2 - Normal,1 - Low,5,2 - Satisfied
13762,1548,1 - Junior,43,Systems,Request,2 - Normal,2 - Medium,6,0 - Unknown
13763,1883,2 - Regular,33,Access/Login,Request,2 - Normal,0 - Unassigned,0,3 - Highly satisfied
13764,1483,3 - Senior,37,Access/Login,Request,2 - Normal,3 - High,0,1 - Unsatisfied
13765,1272,3 - Senior,33,Software,Issue,2 - Normal,3 - High,6,3 - Highly satisfied
13766,141,3 - Senior,46,Hardware,Request,2 - Normal,3 - High,26,2 - Satisfied
13767,1351,2 - Regular,6,Software,Request,2 - Normal,0 - Unassigned,13,1 - Unsatisfied
13768,1430,4 - Management,35,Access/Login,Request,2 - Normal,3 - High,0,3 - Highly satisfied
13769,1324,1 - Junior,9,Systems,Request,2 - Normal,1 - Low,17,3 - Highly satisfied
13770,1590,4 - Management,2,Access/Login,Request,2 - Normal,2 - Medium,0,0 - Unknown
13771,1730,1 - Junior,25,Software,Request,2 - Normal,1 - Low,10,1 - Unsatisfied
13772,561,3 - Senior,35,Software,Request,2 - Normal,3 - High,3,3 - Highly satisfied
13773,409,1 - Junior,16,Access/Login,Request,2 - Normal,0 - Unassigned,1,3 - Highly satisfied
13774,1939,1 - Junior,37,Access/Login,Request,2 - Normal,1 - Low,0,3 - Highly satisfied
13775,759,1 - Junior,35,Software,Issue,2 - Normal,1 - Low,9,0 - Unknown
13776,1313,1 - Junior,47,Access/Login,Request,2 - Normal,1 - Low,0,2 - Satisfied
13777,1995,4 - Management,3,Systems,Issue,2 - Normal,0 - Unassigned,7,1 - Unsatisfied
13778,1590,4 - Management,6,Systems,Issue,2 - Normal,3 - High,3,0 - Unknown
13779,813,2 - Regular,45,Hardware,Request,2 - Normal,2 - Medium,17,0 - Unknown
13780,1454,3 - Senior,20,Software,Request,2 - Normal,2 - Medium,3,0 - Unknown
13781,1503,1 - Junior,8,Systems,Request,2 - Normal,1 - Low,10,3 - Highly satisfied
13782,1204,1 - Junior,4,Hardware,Request,2 - Normal,2 - Medium,30,2 - Satisfied
13783,1906,2 - Regular,26,Systems,Request,2 - Normal,3 - High,6,3 - Highly satisfied
13784,4,4 - Management,33,Access/Login,Request,2 - Normal,3 - High,0,3 - Highly satisfied
13785,362,2 - Regular,4,Access/Login,Issue,2 - Normal,0 - Unassigned,1,2 - Satisfied
13786,646,2 - Regular,36,Hardware,Request,2 - Normal,1 - Low,39,0 - Unknown
13787,976,1 - Junior,9,Hardware,Request,2 - Normal,2 - Medium,13,2 - Satisfied
13788,1355,2 - Regular,15,Software,Issue,3 - Major,2 - Medium,0,3 - Highly satisfied
13789,803,1 - Junior,50,Systems,Issue,2 - Normal,1 - Low,5,1 - Unsatisfied
13790,395,4 - Management,29,Systems,Request,1 - Minor,0 - Unassigned,6,1 - Unsatisfied
13791,667,2 - Regular,11,Systems,Request,2 - Normal,0 - Unassigned,13,0 - Unknown
13792,1774,2 - Regular,36,Software,Request,2 - Normal,0 - Unassigned,2,0 - Unknown
13793,1754,1 - Junior,31,Systems,Request,2 - Normal,3 - High,6,3 - Highly satisfied
13794,15,4 - Management,22,Systems,Request,2 - Normal,3 - High,19,2 - Satisfied
13795,1738,2 - Regular,10,Systems,Request,2 - Normal,3 - High,5,0 - Unknown
13796,167,4 - Management,25,Hardware,Request,2 - Normal,3 - High,23,3 - Highly satisfied
13797,906,4 - Management,25,Systems,Request,2 - Normal,3 - High,20,3 - Highly satisfied
13798,234,4 - Management,48,Systems,Issue,2 - Normal,3 - High,2,1 - Unsatisfied
13799,811,2 - Regular,36,Systems,Request,2 - Normal,1 - Low,7,2 - Satisfied
13800,1245,2 - Regular,33,Access/Login,Request,2 - Normal,1 - Low,1,0 - Unknown
13801,945,1 - Junior,46,Systems,Request,2 - Normal,0 - Unassigned,22,0 - Unknown
13802,1181,2 - Regular,43,Systems,Issue,2 - Normal,2 - Medium,2,2 - Satisfied
13803,663,2 - Regular,27,Systems,Request,2 - Normal,0 - Unassigned,7,3 - Highly satisfied
13804,1490,2 - Regular,20,Systems,Issue,2 - Normal,1 - Low,2,3 - Highly satisfied
13805,1182,4 - Management,48,Access/Login,Issue,2 - Normal,0 - Unassigned,0,2 - Satisfied
13806,1596,1 - Junior,21,Systems,Request,2 - Normal,0 - Unassigned,7,0 - Unknown
13807,15,4 - Management,9,Systems,Request,2 - Normal,2 - Medium,5,3 - Highly satisfied
13808,1016,1 - Junior,31,Access/Login,Request,4 - Critical,0 - Unassigned,0,2 - Satisfied
13809,1070,3 - Senior,10,Access/Login,Issue,2 - Normal,3 - High,0,0 - Unknown
13810,1718,4 - Management,22,Systems,Request,2 - Normal,0 - Unassigned,13,2 - Satisfied
13811,1586,2 - Regular,24,Hardware,Request,2 - Normal,2 - Medium,10,3 - Highly satisfied
13812,957,2 - Regular,33,Access/Login,Request,3 - Major,1 - Low,2,3 - Highly satisfied
13813,562,3 - Senior,9,Access/Login,Request,2 - Normal,2 - Medium,0,1 - Unsatisfied
13814,307,4 - Management,20,Software,Request,2 - Normal,3 - High,6,1 - Unsatisfied
13815,1548,1 - Junior,2,Systems,Issue,2 - Normal,1 - Low,4,0 - Unknown
13816,1689,2 - Regular,5,Access/Login,Request,2 - Normal,3 - High,0,2 - Satisfied
13817,1774,2 - Regular,25,Software,Issue,2 - Normal,0 - Unassigned,12,0 - Unknown
13818,516,1 - Junior,8,Software,Request,2 - Normal,2 - Medium,8,2 - Satisfied
13819,844,1 - Junior,2,Software,Request,2 - Normal,3 - High,2,3 - Highly satisfied
13820,64,2 - Regular,12,Software,Issue,2 - Normal,0 - Unassigned,1,2 - Satisfied
13821,105,4 - Management,25,Systems,Request,2 - Normal,3 - High,19,0 - Unknown
13822,1939,1 - Junior,21,Systems,Request,3 - Major,1 - Low,5,3 - Highly satisfied
13823,1457,4 - Management,21,Software,Request,2 - Normal,2 - Medium,5,3 - Highly satisfied
13824,712,4 - Management,22,Access/Login,Request,2 - Normal,3 - High,0,3 - Highly satisfied
13825,360,1 - Junior,22,Systems,Request,2 - Normal,0 - Unassigned,13,2 - Satisfied
13826,48,4 - Management,23,Systems,Request,2 - Normal,2 - Medium,10,3 - Highly satisfied
13827,846,3 - Senior,8,Software,Issue,2 - Normal,0 - Unassigned,1,2 - Satisfied
13828,905,2 - Regular,40,Systems,Request,2 - Normal,0 - Unassigned,6,0 - Unknown
13829,476,3 - Senior,41,Systems,Issue,2 - Normal,2 - Medium,5,0 - Unknown
13830,1886,3 - Senior,2,Hardware,Request,2 - Normal,0 - Unassigned,10,0 - Unknown
13831,454,4 - Management,29,Systems,Request,3 - Major,3 - High,6,0 - Unknown
13832,1434,1 - Junior,24,Systems,Issue,2 - Normal,0 - Unassigned,6,0 - Unknown
13833,1849,3 - Senior,15,Access/Login,Request,2 - Normal,0 - Unassigned,0,0 - Unknown
13834,1397,1 - Junior,40,Systems,Request,2 - Normal,1 - Low,10,2 - Satisfied
13835,1050,2 - Regular,2,Systems,Request,2 - Normal,1 - Low,10,0 - Unknown
13836,1065,2 - Regular,36,Software,Request,2 - Normal,2 - Medium,2,2 - Satisfied
13837,1548,1 - Junior,44,Software,Request,2 - Normal,2 - Medium,13,2 - Satisfied
13838,442,4 - Management,49,Software,Request,2 - Normal,0 - Unassigned,7,1 - Unsatisfied
13839,643,1 - Junior,45,Systems,Request,3 - Major,2 - Medium,9,2 - Satisfied
13840,1835,1 - Junior,18,Systems,Request,2 - Normal,1 - Low,29,0 - Unknown
13841,918,1 - Junior,17,Access/Login,Issue,2 - Normal,1 - Low,0,3 - Highly satisfied
13842,666,2 - Regular,11,Software,Issue,2 - Normal,2 - Medium,1,3 - Highly satisfied
13843,482,1 - Junior,36,Systems,Request,2 - Normal,1 - Low,5,2 - Satisfied
13844,1003,4 - Management,41,Hardware,Issue,2 - Normal,3 - High,5,2 - Satisfied
13845,820,2 - Regular,46,Access/Login,Issue,2 - Normal,0 - Unassigned,0,1 - Unsatisfied
13846,1601,4 - Management,45,Systems,Issue,2 - Normal,2 - Medium,2,0 - Unknown
13847,903,3 - Senior,39,Systems,Request,2 - Normal,2 - Medium,18,0 - Unknown
13848,1037,1 - Junior,8,Software,Issue,2 - Normal,1 - Low,3,2 - Satisfied
13849,1194,4 - Management,49,Systems,Request,2 - Normal,0 - Unassigned,18,1 - Unsatisfied
13850,412,4 - Management,11,Hardware,Request,2 - Normal,3 - High,11,0 - Unknown
13851,367,2 - Regular,25,Access/Login,Request,2 - Normal,2 - Medium,1,3 - Highly satisfied
13852,1785,2 - Regular,7,Access/Login,Request,2 - Normal,3 - High,0,1 - Unsatisfied
13853,105,4 - Management,1,Access/Login,Request,2 - Normal,0 - Unassigned,1,2 - Satisfied
13854,1411,4 - Management,34,Access/Login,Request,2 - Normal,3 - High,0,3 - Highly satisfied
13855,1164,4 - Management,23,Access/Login,Request,2 - Normal,0 - Unassigned,0,2 - Satisfied
13856,2,2 - Regular,33,Software,Issue,2 - Normal,0 - Unassigned,9,3 - Highly satisfied
13857,1254,3 - Senior,42,Systems,Issue,2 - Normal,3 - High,3,3 - Highly satisfied
13858,1391,4 - Management,45,Software,Request,2 - Normal,0 - Unassigned,5,0 - Unknown
13859,1451,1 - Junior,48,Access/Login,Request,2 - Normal,1 - Low,0,0 - Unknown
13860,269,2 - Regular,46,Software,Request,2 - Normal,0 - Unassigned,8,3 - Highly satisfied
13861,250,2 - Regular,49,Hardware,Request,2 - Normal,3 - High,15,2 - Satisfied
13862,1752,3 - Senior,31,Systems,Request,2 - Normal,0 - Unassigned,5,0 - Unknown
13863,1730,1 - Junior,32,Software,Request,0 - Unclassified,1 - Low,14,1 - Unsatisfied
13864,1015,4 - Management,13,Systems,Issue,2 - Normal,0 - Unassigned,7,1 - Unsatisfied
13865,231,4 - Management,46,Software,Request,2 - Normal,3 - High,10,3 - Highly satisfied
13866,715,2 - Regular,7,Systems,Issue,2 - Normal,0 - Unassigned,11,1 - Unsatisfied
13867,1733,3 - Senior,23,Software,Request,2 - Normal,1 - Low,7,2 - Satisfied
13868,516,1 - Junior,12,Systems,Request,2 - Normal,2 - Medium,6,1 - Unsatisfied
13869,1731,2 - Regular,24,Access/Login,Issue,3 - Major,3 - High,0,0 - Unknown
13870,887,2 - Regular,13,Systems,Issue,2 - Normal,1 - Low,11,1 - Unsatisfied
13871,702,3 - Senior,35,Access/Login,Request,2 - Normal,0 - Unassigned,0,2 - Satisfied
13872,1887,4 - Management,13,Systems,Request,2 - Normal,0 - Unassigned,17,1 - Unsatisfied
13873,1325,3 - Senior,45,Systems,Request,3 - Major,2 - Medium,7,3 - Highly satisfied
13874,145,2 - Regular,38,Software,Request,2 - Normal,3 - High,3,3 - Highly satisfied
13875,630,1 - Junior,29,Systems,Request,2 - Normal,3 - High,5,3 - Highly satisfied
13876,1093,2 - Regular,3,Systems,Request,2 - Normal,0 - Unassigned,16,1 - Unsatisfied
13877,353,2 - Regular,6,Software,Issue,2 - Normal,3 - High,5,0 - Unknown
13878,1737,3 - Senior,39,Access/Login,Issue,2 - Normal,0 - Unassigned,0,0 - Unknown
13879,1441,3 - Senior,50,Access/Login,Request,2 - Normal,0 - Unassigned,0,1 - Unsatisfied
13880,1646,2 - Regular,50,Access/Login,Request,2 - Normal,0 - Unassigned,0,1 - Unsatisfied
13881,1840,1 - Junior,21,Systems,Issue,2 - Normal,0 - Unassigned,2,0 - Unknown
13882,487,1 - Junior,30,Systems,Request,2 - Normal,0 - Unassigned,10,2 - Satisfied
13883,497,2 - Regular,18,Software,Request,2 - Normal,2 - Medium,7,0 - Unknown
13884,60,4 - Management,17,Software,Issue,2 - Normal,3 - High,2,3 - Highly satisfied
13885,123,1 - Junior,12,Systems,Request,2 - Normal,0 - Unassigned,13,2 - Satisfied
13886,811,2 - Regular,45,Access/Login,Request,2 - Normal,1 - Low,0,3 - Highly satisfied
13887,1054,2 - Regular,33,Systems,Request,2 - Normal,1 - Low,20,3 - Highly satisfied
13888,388,3 - Senior,49,Systems,Request,2 - Normal,2 - Medium,14,0 - Unknown
13889,915,3 - Senior,28,Systems,Request,2 - Normal,3 - High,14,1 - Unsatisfied
13890,841,1 - Junior,44,Systems,Request,2 - Normal,2 - Medium,5,2 - Satisfied
13891,936,2 - Regular,45,Hardware,Request,2 - Normal,2 - Medium,14,3 - Highly satisfied
13892,1522,2 - Regular,29,Systems,Request,2 - Normal,3 - High,6,2 - Satisfied
13893,1750,4 - Management,16,Access/Login,Request,2 - Normal,3 - High,0,3 - Highly satisfied
13894,999,4 - Management,19,Systems,Issue,2 - Normal,3 - High,6,3 - Highly satisfied
13895,363,3 - Senior,49,Systems,Request,2 - Normal,3 - High,16,3 - Highly satisfied
13896,1333,4 - Management,25,Access/Login,Request,3 - Major,0 - Unassigned,0,0 - Unknown
13897,1957,2 - Regular,41,Hardware,Request,2 - Normal,0 - Unassigned,26,2 - Satisfied
13898,726,2 - Regular,15,Software,Request,2 - Normal,2 - Medium,2,3 - Highly satisfied
13899,1641,2 - Regular,9,Systems,Issue,2 - Normal,2 - Medium,12,0 - Unknown
13900,1664,2 - Regular,21,Software,Request,2 - Normal,2 - Medium,2,1 - Unsatisfied
13901,1641,2 - Regular,3,Systems,Request,3 - Major,1 - Low,22,1 - Unsatisfied
13902,1203,3 - Senior,24,Access/Login,Request,2 - Normal,2 - Medium,0,3 - Highly satisfied
13903,715,2 - Regular,15,Access/Login,Request,2 - Normal,3 - High,0,2 - Satisfied
13904,75,2 - Regular,26,Hardware,Request,2 - Normal,0 - Unassigned,28,2 - Satisfied
13905,693,2 - Regular,33,Access/Login,Request,2 - Normal,3 - High,0,2 - Satisfied
13906,1324,1 - Junior,25,Access/Login,Request,2 - Normal,1 - Low,0,2 - Satisfied
13907,1354,4 - Management,23,Software,Request,2 - Normal,3 - High,3,0 - Unknown
13908,830,2 - Regular,24,Systems,Request,2 - Normal,0 - Unassigned,5,2 - Satisfied
13909,1669,2 - Regular,21,Access/Login,Issue,2 - Normal,2 - Medium,0,3 - Highly satisfied
13910,1025,3 - Senior,22,Systems,Issue,2 - Normal,0 - Unassigned,13,2 - Satisfied
13911,531,3 - Senior,43,Software,Request,2 - Normal,0 - Unassigned,6,0 - Unknown
13912,1867,3 - Senior,23,Software,Request,2 - Normal,2 - Medium,3,1 - Unsatisfied
13913,1899,1 - Junior,33,Hardware,Request,2 - Normal,0 - Unassigned,33,0 - Unknown
13914,840,2 - Regular,19,Access/Login,Issue,2 - Normal,3 - High,0,2 - Satisfied
13915,1919,2 - Regular,14,Systems,Request,2 - Normal,1 - Low,23,3 - Highly satisfied
13916,546,3 - Senior,6,Systems,Request,2 - Normal,3 - High,17,0 - Unknown
13917,714,3 - Senior,17,Access/Login,Request,2 - Normal,3 - High,0,3 - Highly satisfied
13918,1196,1 - Junior,28,Hardware,Request,2 - Normal,0 - Unassigned,26,2 - Satisfied
13919,261,2 - Regular,50,Software,Request,2 - Normal,2 - Medium,7,1 - Unsatisfied
13920,1034,2 - Regular,1,Systems,Request,2 - Normal,0 - Unassigned,21,0 - Unknown
13921,362,2 - Regular,24,Software,Issue,2 - Normal,0 - Unassigned,0,3 - Highly satisfied
13922,22,2 - Regular,23,Systems,Request,2 - Normal,0 - Unassigned,7,3 - Highly satisfied
13923,1866,3 - Senior,41,Access/Login,Request,2 - Normal,3 - High,0,3 - Highly satisfied
13924,6,3 - Senior,48,Systems,Request,2 - Normal,3 - High,11,3 - Highly satisfied
13925,232,1 - Junior,47,Systems,Request,2 - Normal,1 - Low,6,3 - Highly satisfied
13926,1163,4 - Management,49,Systems,Request,2 - Normal,3 - High,14,1 - Unsatisfied
13927,848,4 - Management,11,Systems,Request,2 - Normal,0 - Unassigned,8,3 - Highly satisfied
13928,1621,3 - Senior,23,Access/Login,Request,2 - Normal,0 - Unassigned,0,0 - Unknown
13929,883,1 - Junior,9,Software,Issue,3 - Major,2 - Medium,12,0 - Unknown
13930,11,2 - Regular,41,Software,Request,2 - Normal,2 - Medium,3,3 - Highly satisfied
13931,207,4 - Management,29,Systems,Request,2 - Normal,0 - Unassigned,7,3 - Highly satisfied
13932,1624,1 - Junior,23,Systems,Issue,2 - Normal,2 - Medium,4,2 - Satisfied
13933,851,1 - Junior,37,Access/Login,Request,3 - Major,3 - High,0,3 - Highly satisfied
13934,794,2 - Regular,41,Access/Login,Request,2 - Normal,2 - Medium,0,2 - Satisfied
13935,848,4 - Management,14,Software,Request,2 - Normal,3 - High,5,2 - Satisfied
13936,1596,1 - Junior,29,Access/Login,Issue,2 - Normal,3 - High,0,3 - Highly satisfied
13937,203,3 - Senior,40,Access/Login,Request,2 - Normal,1 - Low,0,0 - Unknown
13938,148,4 - Management,12,Systems,Request,2 - Normal,3 - High,6,0 - Unknown
13939,1022,1 - Junior,4,Software,Request,2 - Normal,2 - Medium,6,0 - Unknown
13940,796,1 - Junior,28,Hardware,Request,2 - Normal,3 - High,31,2 - Satisfied
13941,1055,3 - Senior,18,Systems,Request,2 - Normal,0 - Unassigned,8,2 - Satisfied
13942,324,2 - Regular,26,Access/Login,Request,2 - Normal,0 - Unassigned,0,2 - Satisfied
13943,19,4 - Management,34,Access/Login,Request,2 - Normal,3 - High,0,3 - Highly satisfied
13944,1424,1 - Junior,28,Access/Login,Request,3 - Major,3 - High,0,0 - Unknown
13945,1189,2 - Regular,47,Access/Login,Request,2 - Normal,1 - Low,0,3 - Highly satisfied
13946,1533,2 - Regular,16,Access/Login,Request,2 - Normal,0 - Unassigned,0,3 - Highly satisfied
13947,148,4 - Management,18,Software,Request,2 - Normal,3 - High,4,0 - Unknown
13948,332,2 - Regular,42,Software,Request,2 - Normal,3 - High,2,0 - Unknown
13949,852,1 - Junior,24,Software,Request,2 - Normal,3 - High,5,2 - Satisfied
13950,678,3 - Senior,8,Software,Request,2 - Normal,0 - Unassigned,3,0 - Unknown
13951,1914,3 - Senior,28,Software,Request,2 - Normal,0 - Unassigned,13,1 - Unsatisfied
13952,1107,2 - Regular,9,Systems,Issue,3 - Major,3 - High,3,3 - Highly satisfied
13953,41,2 - Regular,19,Systems,Issue,2 - Normal,0 - Unassigned,5,3 - Highly satisfied
13954,61,3 - Senior,41,Software,Issue,2 - Normal,0 - Unassigned,2,0 - Unknown
13955,891,1 - Junior,14,Systems,Request,4 - Critical,2 - Medium,15,3 - Highly satisfied
13956,506,2 - Regular,13,Systems,Request,2 - Normal,3 - High,19,1 - Unsatisfied
13957,253,3 - Senior,27,Software,Request,2 - Normal,0 - Unassigned,4,3 - Highly satisfied
13958,40,4 - Management,31,Hardware,Request,2 - Normal,3 - High,12,2 - Satisfied
13959,1773,2 - Regular,23,Systems,Request,4 - Critical,3 - High,6,3 - Highly satisfied
13960,1106,1 - Junior,34,Systems,Request,3 - Major,1 - Low,8,3 - Highly satisfied
13961,1441,3 - Senior,9,Software,Request,2 - Normal,0 - Unassigned,4,1 - Unsatisfied
13962,1178,1 - Junior,16,Systems,Request,2 - Normal,1 - Low,24,0 - Unknown
13963,925,2 - Regular,41,Systems,Issue,2 - Normal,2 - Medium,2,0 - Unknown
13964,557,2 - Regular,4,Access/Login,Issue,2 - Normal,3 - High,0,2 - Satisfied
13965,1563,2 - Regular,18,Access/Login,Request,2 - Normal,1 - Low,1,1 - Unsatisfied
13966,1912,2 - Regular,20,Systems,Request,2 - Normal,3 - High,5,0 - Unknown
13967,1314,2 - Regular,16,Systems,Issue,2 - Normal,2 - Medium,3,2 - Satisfied
13968,1650,1 - Junior,9,Software,Request,2 - Normal,2 - Medium,16,0 - Unknown
13969,45,2 - Regular,34,Access/Login,Request,2 - Normal,1 - Low,0,3 - Highly satisfied
13970,1197,4 - Management,40,Systems,Request,2 - Normal,3 - High,6,1 - Unsatisfied
13971,482,1 - Junior,49,Systems,Request,2 - Normal,2 - Medium,14,1 - Unsatisfied
13972,1272,3 - Senior,33,Systems,Issue,2 - Normal,0 - Unassigned,3,0 - Unknown
13973,1066,4 - Management,6,Systems,Request,2 - Normal,0 - Unassigned,21,2 - Satisfied
13974,966,3 - Senior,10,Hardware,Request,2 - Normal,0 - Unassigned,12,1 - Unsatisfied
13975,115,2 - Regular,37,Access/Login,Request,2 - Normal,3 - High,0,1 - Unsatisfied
13976,1798,1 - Junior,49,Access/Login,Request,2 - Normal,1 - Low,1,0 - Unknown
13977,1245,2 - Regular,29,Systems,Request,2 - Normal,1 - Low,7,3 - Highly satisfied
13978,1058,4 - Management,43,Systems,Issue,2 - Normal,3 - High,3,0 - Unknown
13979,614,2 - Regular,9,Systems,Request,2 - Normal,0 - Unassigned,5,1 - Unsatisfied
13980,1319,4 - Management,42,Software,Request,2 - Normal,0 - Unassigned,5,3 - Highly satisfied
13981,99,2 - Regular,38,Access/Login,Request,3 - Major,2 - Medium,0,2 - Satisfied
13982,1349,3 - Senior,32,Software,Request,2 - Normal,3 - High,4,2 - Satisfied
13983,1754,1 - Junior,27,Hardware,Issue,2 - Normal,3 - High,5,3 - Highly satisfied
13984,1350,2 - Regular,20,Access/Login,Request,2 - Normal,2 - Medium,0,1 - Unsatisfied
13985,1396,4 - Management,20,Hardware,Request,2 - Normal,3 - High,11,0 - Unknown
13986,223,2 - Regular,4,Systems,Issue,2 - Normal,0 - Unassigned,13,2 - Satisfied
13987,627,1 - Junior,17,Systems,Request,2 - Normal,2 - Medium,7,2 - Satisfied
13988,144,1 - Junior,39,Software,Request,2 - Normal,0 - Unassigned,10,2 - Satisfied
13989,1249,3 - Senior,32,Access/Login,Issue,2 - Normal,0 - Unassigned,0,0 - Unknown
13990,1766,1 - Junior,44,Software,Issue,3 - Major,0 - Unassigned,5,0 - Unknown
13991,1193,4 - Management,25,Systems,Request,2 - Normal,0 - Unassigned,13,1 - Unsatisfied
13992,223,2 - Regular,12,Systems,Request,2 - Normal,2 - Medium,6,1 - Unsatisfied
13993,726,2 - Regular,29,Access/Login,Request,2 - Normal,1 - Low,0,0 - Unknown
13994,867,3 - Senior,31,Systems,Request,2 - Normal,3 - High,5,3 - Highly satisfied
13995,1508,2 - Regular,9,Access/Login,Issue,2 - Normal,1 - Low,1,3 - Highly satisfied
13996,1922,1 - Junior,40,Systems,Request,2 - Normal,0 - Unassigned,11,3 - Highly satisfied
13997,628,1 - Junior,45,Systems,Issue,2 - Normal,1 - Low,2,0 - Unknown
13998,1825,1 - Junior,46,Software,Issue,2 - Normal,0 - Unassigned,8,0 - Unknown
13999,360,1 - Junior,47,Access/Login,Issue,3 - Major,1 - Low,1,2 - Satisfied
14000,200,3 - Senior,40,Software,Request,2 - Normal,3 - High,4,0 - Unknown
14001,1735,1 - Junior,35,Software,Issue,2 - Normal,1 - Low,9,3 - Highly satisfied
14002,1062,2 - Regular,29,Software,Issue,2 - Normal,3 - High,3,3 - Highly satisfied
14003,252,3 - Senior,20,Software,Issue,2 - Normal,3 - High,1,0 - Unknown
14004,643,1 - Junior,42,Access/Login,Request,4 - Critical,2 - Medium,1,1 - Unsatisfied
